descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Ração seca especial para cães adultos;",20734975,10000,PERDEU,KG,50000,5
"Ração seca especial para cães filhotes;",20734976,600,PERDEU,KG,5820,9.7
