arquivo,data,descricao,numero,tipo
"8d71cac8-02a1-40be-8aef-3221cd3a35a7",2025-10-03,"FORMALIZACAO DA DEMANDA.pdf"," ","DOCUMENTO DE FORMAIZAÇÃO DE DEMANDA"
"dcd68cbc-7267-4c3e-b0ed-593dee623c26",2025-10-03,"TERMO DE REFERENCIA.pdf"," ","TERMO DE REFERENCIA"
"2f75a834-826d-4a26-bbe2-28e808df84d3",2025-01-16,"5_-PLANILHA_ORCAMENTARIA_CORRIGIDA_.pdf"," ","ORÇAMENTO ESTIMADO"
"f24fece6-f28a-4aea-b543-4ac0b86059fe",2025-01-16,"PRE 006.PMC.2025 - RP generos alimenticios FNDE.pdf"," ",EDITAL
"e0df0102-cf99-453b-b9f6-b70ac62c04ca",2025-10-03,"REVOGAÇÃO Edital de Pregão Eletrônico nº 006.PMC.2025.pdf"," ",REVOGAÇÃO
"c2cc80d4-c6f8-4208-92e2-cec4ef137f16",2025-10-03,"PARECER JURIDICO - PRE 006.PMC.2025 - RP generos alimenticios FNDE.pdf"," ","PARECER JURIDICO"
