descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Analgésico Tramadol 20mg/ml(2%).",7545752,9,10,ATIVO,FRASCO,464.1,46.41
"Suplemento para grandes e pequenos animais;",7545753,13,10,ATIVO,FRASCO,763.8,76.38
"Antigalactogênico metergolina 2 mg; uso veterinário. Apresentar registro no Ministério da Agricultura. Conter na embalagem a data de fabricação, data de validade e lote. Apresentar data de validade mínima de 12 meses. Apresentação: comprimidos.",7545754,35,30,ATIVO,COMPRIMIDO,432.6,14.42
