arquivo,data,descricao,numero,tipo
"986bc88c-5049-4ab1-be2e-dfa2bd592efe",2025-08-08,"Dispensa Eletrônica 109.PMC.2025 - Aquisição de software Sec. desen. econ..pdf"," ",EDITAL
"99dc6ac6-50da-4914-9d1a-81761e0165a9",2025-10-03,"FORMALIZAÇÃO DE DEMANDA.pdf"," ","DOCUMENTO DE FORMAIZAÇÃO DE DEMANDA"
"0a27ba79-5a86-46bd-84a1-2313a0a93612",2025-10-03,"TERMO DE REFERENCIA.pdf"," ","TERMO DE REFERENCIA"
"cbec7b72-8f9e-446c-8402-61dfb9f36783",2025-10-03,"JUSTIFICATIVA DE INEXIGIBILIDADE.pdf"," ","JUSTIFICATIVA DE INEXIGIBILIDADE"
"caef663a-80d4-4d6b-b2c4-9eb4a0b647ab",2025-10-03,"ORÇAMETO ESTIMADO.pdf"," ","DOCUMENTO DE FORMAIZAÇÃO DE DEMANDA"
"2fa94c98-073d-43be-b1d2-3b6d64e4bbd8",2025-10-03,"RAZAO DA ESCOLHA.pdf"," ","RAZAO DE ESCOLHA DO CONTRATADO"
"d7096942-d81d-41f3-883b-5b2c5ee7a526",2025-10-03,"COMPROVANTE DE HABILITAÇÃO.pdf"," ","COMPROVAÇÃO DE HABILITAÇÃO"
"992df0a9-84cc-4390-aa39-707c77bbed96",2025-10-03,"COMPROVANTE DE PUBLICAÇÃO.pdf"," ","COMPROVANTE DE PUBLICAÇÃO"
"8319699f-a26f-4dc2-ae09-513e043ac2b6",2025-10-03,"JUSTIFICATIVA DE PREÇO.pdf"," ","JUSTIFICATIVA E PREÇO"
"387515e7-6591-4315-873c-6f0f30abe2f3",2025-10-03,"AUTORIZAÇÃO DA AUTORIDADE COMPETENTE.pdf"," ","AUTORIZAÇÃO DA AUTORIDADE COMPETENTE"
"5ed65595-13d9-4f44-b862-a5b445856ed8",2025-10-03,HOMOLOGAÇÃO.pdf," ",HOMOLOGAÇÃO
"ee68400f-b8b5-4dce-a43f-3919cd5f800a",2025-10-03,"ATA DE SESSÃO.pdf"," ",ATAS
"135db700-9d99-454e-bf25-dc23dbdb093e",2025-10-03,"ATA DE ADJUDICAÇÃO.pdf"," ",ATAS
"c6a74840-4b54-4eea-9a06-1eab1005ff67",2025-10-03,"PARECER JURIDICO.pdf"," ","PARECER JURIDICO"
