descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Swab para coleta de amostras, haste plástica, estéril: para coleta de amostras destinadas ao diagnóstico de esporotricose felina;",7545707,55,300,ATIVO,UNIDADE,603,2.01
"Estojo porta lâminas, para 3 lâminas;",7545708,57,300,ATIVO,UNIDADE,438,1.46
"Lâmina para microscopia, fosca, lapidada: para microscopia e diagnóstico de esporotricose felina;",7545709,58,300,ATIVO,UNIDADE,4578,15.26
