acao,ano,descricaoElemento,fonteRecurso,funcao,id,numeroElemento,orgao,portaria,programa,subfuncao,unidade
1013,2025,"APLICAÇÕES DIRETAS","Outros Recursos não Vinculados",15,42,33900000,"PREFEITURA MUNICIPAL DE CRICIÚMA"," ",1001,451,
1013,2025,"APLICAÇÕES DIRETAS","Recursos Ordinários",15,42,33900000,"PREFEITURA MUNICIPAL DE CRICIÚMA"," ",1001,451,
1013,2025,"APLICAÇÕES DIRETAS","Convênio de Trânsito - Prefeitura",15,42,33900000,"PREFEITURA MUNICIPAL DE CRICIÚMA"," ",1001,451,
1237,2025,"APLICAÇÕES DIRETAS","Recursos Ordinários",4,81,44900000,"SEC. MUN. DA FAZENDA"," ",1004,122,
1022,2025,"APLICAÇÕES DIRETAS","Recursos Ordinários",4,88,44900000,"SEC. MUN. DA FAZENDA"," ",1004,122,
1027,2025,"APLICAÇÕES DIRETAS","Convênio Trânsito - Militar",6,99,44900000,"SEC. MUN. DA FAZENDA"," ",1004,181,
1029,2025,"APLICAÇÕES DIRETAS","Recursos Provenientes de Taxas, Contribuições e Preços Públicos",6,105,44900000,"SEC. MUN. DA FAZENDA"," ",1004,181,
1029,2025,"APLICAÇÕES DIRETAS","Recursos Ordinários",6,103,33900000,"SEC. MUN. DA FAZENDA"," ",1004,181,
1034,2025,"APLICAÇÕES DIRETAS","Receitas de Impostos e de Transferência de Impostos - Educação",12,154,44900000,"SEC. MUN. DE EDUCAÇÃO"," ",1005,361,
1045,2025,"APLICAÇÕES DIRETAS","Receitas de Impostos e de Transferência de Impostos - Saúde",10,8,44900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1050,2025,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,14,44900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1054,2025,"APLICAÇÕES DIRETAS","Receitas de Impostos e de Transferência de Impostos - Saúde",10,28,44900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1207,2025,"APLICAÇÕES DIRETAS","Receitas de Impostos e de Transferência de Impostos - Saúde",10,58,44900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,305,
1223,2025,"APLICAÇÕES DIRETAS","Recursos Ordinários",18,67,44900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1020,122,
1093,2025,"APLICAÇÕES DIRETAS","Recursos Ordinários",27,3,33900000,EXTERNOS," ",1019,122,
1068,2025,"APLICAÇÕES DIRETAS","Transf. do Sist. Unido de Assist. Social-SUAS/Estado",8,13,33900000,UNESC," ",1014,244,
1068,2025,"APLICAÇÕES DIRETAS","Transf. do Sist. Unico de Assist. Social-SUAS/União",8,13,33900000,UNESC," ",1014,244,
1067,2025,"APLICAÇÕES DIRETAS","Transf. do Sist. Unido de Assist. Social-SUAS/Estado",8,7,33900000,UNESC," ",1014,244,
1088,2025,"APLICAÇÕES DIRETAS","Recursos Ordinários",13,5,33900000,FCC," ",1018,122,
