ano,data,dataVencimento,itens,numero,ocorrencias
2019,2019-06-18,2020-06-18,"itens_735ef357-fe57-4ab8-b1b8-93e4ef7cac69.csv",55," "
2019,2019-06-18,2020-06-18,"itens_6d6b2ba9-3ef2-464e-9ccf-a416d498066e.csv",13," "
