feature,corr_target,corr_abs
valor_estimado,0.9696304784016092,0.9696304784016092
diferenca_estimado_homologado,0.7885277740493759,0.7885277740493759
valor_estimado_por_participante,0.5297654754931821,0.5297654754931821
num_participantes_licitacao,0.3244178808464877,0.3244178808464877
has_ata_registro_precos,0.3045830609009207,0.3045830609009207
registro_precos_bool,0.30290660105968614,0.30290660105968614
has_contrato,-0.2938268125754536,0.2938268125754536
quantidade_item,0.2575911438794027,0.2575911438794027
has_despesa,-0.24273775401273126,0.24273775401273126
mes_publicacao,0.22810876478207748,0.22810876478207748
