feature,coef,std_error,coef_abs
diferenca_estimado_homologado,-0.9999999998282505,5.953968602315812e-11,0.9999999998282505
valor_estimado,0.9999999994434626,2.7591114474843902e-11,0.9999999994434626
has_contrato,-0.008610491355284466,7.871239708632376e-05,0.008610491355284466
const,-0.0048318398748961044,5.8470218007451875e-05,0.0048318398748961044
has_despesa,-0.004829128894925816,6.559288641215001e-05,0.004829128894925816
has_ata_registro_precos,0.0037566973669527215,5.155927006793196e-05,0.0037566973669527215
registro_precos_bool,0.0037475320787052624,5.030429241947776e-05,0.0037475320787052624
mes_publicacao,0.0005809530903206905,1.7809129046495263e-05,0.0005809530903206905
num_participantes_licitacao,6.704532211188052e-05,3.8502783355918855e-06,6.704532211188052e-05
valor_estimado_por_participante,2.1999062224664634e-09,1.3694676976706817e-10,2.1999062224664634e-09
quantidade_item,5.111199519181042e-10,2.094708979237657e-10,5.111199519181042e-10
