descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"SAL IODADO",1301712,39,10200,ATIVO,kg,8160,0.8
"FARINHA DE TRIGO - PACOTE 5 KG",1303808,24,12750,ATIVO,kg,27540,2.16
