descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"FILTRO LUBRIFICANTE VA32G4001100",0,12,PERDEU," ",2748,229
"FILTRO DIESEL LS21P01013R100",0,12,PERDEU," ",1416,118
"FILTRO SEPARADOR VA32G6200100",0,12,PERDEU," ",4368,364
"FILTRO AR PRIMÁRIO YY11P00008S003",0,6,PERDEU," ",1752,292
"FILTRO AR SECUNDÁRIO	YY11P00008S002",0,6,PERDEU," ",978,163
"FILTRO RETORNO	YN52V010011P1",0,4,PERDEU," ",680,170
"FILTRO SUCÇÃO	YN50V00025FF2",0,4,PERDEU," ",1832,458
"FILTRO RESPIRO	YN57V00004S002",0,4,PERDEU," ",604,151
"FILTRO AR CONDICIONADO	YN50V01015P3",0,4,PERDEU," ",428,107
"FILTRO AR CONDICIONADO	YN50V01014P1",0,4,PERDEU," ",372,93
"FILTRO LUBRIFICANTE 	87803260",0,12,PERDEU," ",984,82
"FILTRO DIESEL 	87435525",0,12,PERDEU," ",1020,85
"FILTRO SEPARADOR 	87803192",0,12,PERDEU," ",1104,92
"FILTRO AR PRIMÁRIO	87577657",0,8,PERDEU," ",1960,245
"FILTRO AR SECUNDÁRIO	87577656",0,8,PERDEU," ",1304,163
"FILTRO HIDRÁULICO	YN52V01013P1",0,8,PERDEU," ",2168,271
"FILTRO SUCÇÃO	YN50V00002S001",0,6,PERDEU," ",1806,301
"FILTRO RESPIRO	YW57V00002S010",0,6,PERDEU," ",432,72
"FILTRO AR CONDICIONADO	YN50V01014P1",0,4,PERDEU," ",372,93
"FILTRO 	7W2327",0,10,PERDEU," ",890,89
"FILTRO	1106326",0,8,PERDEU," ",1584,198
"FILTRO	1106331",0,8,PERDEU," ",736,92
"FILTRO	2230713",0,8,PERDEU," ",912,114
"FILTRO	1596102",0,8,PERDEU," ",1208,151
"FILTRO	1919784",0,8,PERDEU," ",1736,217
"FILTRO 	1G8878",0,8,PERDEU," ",2016,252
"FILTRO LUBRIFICANTE 	2Y8096",0,10,PERDEU," ",720,72
"FILTRO SEPARADOR 	9M2341",0,10,PERDEU," ",630,63
"FILTRO AR PRIMÁRIO	4M8047",0,8,PERDEU," ",736,92
"FILTRO AR SECUNDÁRIO	2S1285",0,8,PERDEU," ",512,64
"FILTRO DIESEL	2Y8670",0,10,PERDEU," ",450,45
"FILTRO TRANSMISSÃO	9M9740",0,6,PERDEU," ",378,63
"FILTRO LUBRIFICANTE 	71101955",0,16,PERDEU," ",1712,107
"FILTRO DIESEL	71101915",0,16,PERDEU," ",720,45
"FILTRO SEPARADOR 	71101919",0,16,PERDEU," ",832,52
"FILTRO AR PRIMÁRIO	71102720",0,10,PERDEU," ",1750,175
"FILTRO AR SECUNDÁRIO	71102719",0,10,PERDEU," ",1110,111
"FILTRO DÁGUA 	9672301",0,10,PERDEU," ",850,85
"FILTRO HIDRÁULICO	1930836",0,8,PERDEU," ",648,81
"FILTRO DIFERENCIAL	75310446",0,6,PERDEU," ",996,166
"FILTRO SUCÇÃO	73161153",0,6,PERDEU," ",1188,198
"FILTRO	75289018",0,8,PERDEU," ",840,105
"FILTRO TRANSMISSÃO	73162722",0,10,PERDEU," ",3610,361
"FILTRO AR CONDICIONADO	75254545",0,6,PERDEU," ",780,130
"FILTRO	75325672",0,8,PERDEU," ",960,120
"FILTRO	71101957",0,10,PERDEU," ",820,82
"FILTRO	75312820",0,6,PERDEU," ",1950,325
"FILTRO	73125853",0,8,PERDEU," ",680,85
"FILTRO	79107317",0,6,PERDEU," ",432,72
"FILTRO HIDRÁULICO	2526831",0,6,PERDEU," ",618,103
"FILTRO AR SECUNDÁRIO	3340046",0,8,PERDEU," ",520,65
"FILTRO AR PRIMÁRIO	3340045",0,8,PERDEU," ",864,108
"FILTRO LUBRIFICANTE 	3339238",0,10,PERDEU," ",450,45
"FILTRO TRANSMISSÃO	247052",0,6,PERDEU," ",504,84
"FILTRO DIESEL	12709444",0,10,PERDEU," ",380,38
"FILTRO LUBRIFICANTE 	76194572",0,12,PERDEU," ",1020,85
"FILTRO DIESEL PRIMÁRIO	87400496",0,12,PERDEU," ",984,82
"FILTRO DIESEL SECUNDÁRIO	86990957",0,12,PERDEU," ",1236,103
"FILTRO SEPARADOR 	84993233",0,12,PERDEU," ",876,73
"FILTRO AR PRIMÁRIO	87682990",0,12,PERDEU," ",1188,99
"FILTRO AR SECUNDÁRIO	87683000",0,12,PERDEU," ",828,69
"FILTRO HIDRÁULICO	87409662",0,8,PERDEU," ",1856,232
"FILTRO TRANSMISSÃO	87519452",0,8,PERDEU," ",1992,249
"FILTRO AR CONDICIONADO	330014A1",0,6,PERDEU," ",1260,210
"FILTRO DIESEL	84403847",0,12,PERDEU," ",768,64
"FILTRO AR CONDICIONADO	87314367",0,6,PERDEU," ",666,111
"FILTRO AR SECUNDÁRIO	84217229",0,10,PERDEU," ",920,92
"FILTRO AR PRIMÁRIO	87682999",0,10,PERDEU," ",1120,112
"FILTRO HIDRÁULICO	84226272",0,10,PERDEU," ",2610,261
"FILTRO SEPARADOR 	87803444",0,12,PERDEU," ",1320,110
"FILTRO DIESEL	84171692",0,12,PERDEU," ",1080,90
"FILTRO TRANSMISSÃO	86982180",0,10,PERDEU," ",2450,245
"FILTRO DE TELA 	278534A1",0,4,PERDEU," ",540,135
"FILTRO AR SECUNDÁRIO	71102625",0,24,PERDEU," ",1872,78
"FILTRO AR PRIMÁRIO	71102626",0,24,PERDEU," ",2664,111
"FILTRO SEPARADOR 	84993233",0,24,PERDEU," ",2136,89
"FILTRO DIESEL	86990957",0,24,PERDEU," ",1896,79
"FILTRO LUBRIFICANTE 	71101726",0,24,PERDEU," ",1152,48
"FILTRO TRANSMISSÃO	85817004",0,10,PERDEU," ",2340,234
"FILTRO COMBUSTÍVEL	75241002",0,24,PERDEU," ",1968,82
"FILTRO HIDRÁULICO	73124631",0,10,PERDEU," ",1990,199
"FILTRO AR PRIMÁRIO	499510",0,6,PERDEU," ",648,108
"FILTRO AR SECUNDÁRIO	499511",0,6,PERDEU," ",306,51
"FILTRO HIDRÁULICO	3356657",0,6,PERDEU," ",660,110
"FILTRO DIESEL 	498852",0,10,PERDEU," ",570,57
"FILTRO LUBRIFICANTE 	497771",0,10,PERDEU," ",640,64
"FILTRO	69302107-95",0,6,PERDEU," ",762,127
"FILTRO 	4012271",0,6,PERDEU," ",222,37
"FILTRO	Z92060037",0,10,PERDEU," ",420,42
"FILTRO	Z92060081",0,10,PERDEU," ",790,79
"FILTRO	Z92060080",0,10,PERDEU," ",840,84
"FILTRO	87803197",0,12,PERDEU," ",1068,89
"FILTRO	87400496",0,12,PERDEU," ",504,42
"FILTRO	R57888",0,6,PERDEU," ",132,22
"FILTRO RESPIRO	2992447",0,6,PERDEU," ",948,158
"FILTRO HIDRÁULICO	47131182",0,6,PERDEU," ",624,104
"FILTRO HIDRÁULICO	254353A1",0,4,PERDEU," ",1040,260
"FILTRO	87346332",0,6,PERDEU," ",2142,357
"FILTRO TELA	426784A1",0,6,PERDEU," ",1914,319
"FILTRO AR PRIMÁRIO 	87577657",0,4,PERDEU," ",1164,291
"FILTRO AR SECUNDÁRIO 	87577656",0,3,PERDEU," ",2280,760
"FILTRO AR INTERNO	219001058",0,10,PERDEU," ",500,50
"FILTRO AR EXTERNO	219001057",0,10,PERDEU," ",780,78
"FILTRO HIDRÁULICO	936974Q",0,6,PERDEU," ",2484,414
"FILTRO DIESEL	219001068",0,20,PERDEU," ",400,20
"FILTRO LUBRIFICANTE 	219000397",0,10,PERDEU," ",540,54
"FILTRO TRANSMISSÃO	219000751",0,6,PERDEU," ",930,155
"LUBRIFICANTE 	65055105028A",0,10,PERDEU," ",780,78
"FILTRO DIESEL	65125035016B",0,10,PERDEU," ",920,92
"FILTRO SEPARADOR 	K1006530",0,10,PERDEU," ",1980,198
"FILTRO AR INTERNO	47400039",0,6,PERDEU," ",834,139
"FILTRO AR  EXTERNO	47400040",0,6,PERDEU," ",1404,234
"FILTRO SUCÇÃO	24749016A",0,4,PERDEU," ",680,170
"FILTRO HIDRÁULICO	47400055",0,4,PERDEU," ",736,184
"FILTRO PILOTO	24711154",0,4,PERDEU," ",328,82
"FILTRO AR CONDICIONADO	K1002210",0,4,PERDEU," ",416,104
"FILTRO AR EXTERNO	4700394686",0,6,PERDEU," ",1590,265
"FILTRO AR INTERNO	4700394687",0,6,PERDEU," ",840,140
"FILTRO AR CONDICONADO	7,89339E+12",0,4,PERDEU," ",216,54
"FILTRO LUBRIFICANTE	4700878032",0,10,PERDEU," ",850,85
"FILTRO DIESEL 	4700878031",0,10,PERDEU," ",780,78
"FILTRO SEPARADOR 	4700873561",0,10,PERDEU," ",1390,139
"FILTRO AR EXTERNO	2015149167",0,6,PERDEU," ",942,157
"FILTRO AR INTERNO	2015149166",0,6,PERDEU," ",780,130
"FILTRO DIESEL SECUNDÁRIO	2015903640",0,10,PERDEU," ",1240,124
"FILTRO LUBRIFICANTE 	2015832022",0,10,PERDEU," ",1230,123
"FILTRO DIESEL PRIMÁRIO	2015120100",0,10,PERDEU," ",1770,177
"FILTRO AR EXTERNO	1930824",0,6,PERDEU," ",666,111
"FILTRO AR INTERNO	1930825",0,6,PERDEU," ",438,73
"FILTRO DIESEL EXTERNO	84465002",0,8,PERDEU," ",208,26
"FILTRO DIESEL INTERNO	87800220",0,8,PERDEU," ",720,90
"FILTRO HIDRÁULICO	48028391",0,4,PERDEU," ",792,198
"FILTRO LUBRIFICANTE 	1909102",0,8,PERDEU," ",504,63
"FILTRO HIDRÁULICO	82824884",0,6,PERDEU," ",1032,172
"FILTRO AR EXTERNO	87574362",0,6,PERDEU," ",624,104
"FILTRO AR INTERNO	87574363",0,6,PERDEU," ",456,76
"FILTRO DIESEL	85281496",0,10,PERDEU," ",270,27
"FILTRO LUBRIFICANTE 	87854900",0,10,PERDEU," ",520,52
"FILTRO HIDRÁULICO	11402880",0,6,PERDEU," ",948,158
"FILTRO AR EXTERNO	11401212",0,6,PERDEU," ",642,107
"FILTRO AR INTERNO	11401210",0,6,PERDEU," ",432,72
"FILTRO DIESEL	11102589",0,10,PERDEU," ",380,38
"FILTRO LUBRIFICANTE 	11803693",0,10,PERDEU," ",730,73
"FILTRO AR INTERNO	11N822150",0,6,PERDEU," ",1116,186
"FILTRO AR EXTERNO	11N822140",0,6,PERDEU," ",1584,264
"FILTRO HIDRÁULICO	20Y6031121",0,6,PERDEU," ",1302,217
"FILTRO DIESEL	11LG70010",0,10,PERDEU," ",710,71
"FILTRO LUBRIFICANTE 	11N870110",0,10,PERDEU," ",920,92
"FILTRO TRANSMISSÃO	ZGAQ02400",0,6,PERDEU," ",1566,261
"FILTRO SUCÇÃO TANQUE 	31LH60070",0,2,PERDEU," ",330,165
"FILTRO COMBUSTÍVEL 	9405050747",0,10,PERDEU," ",410,41
"FILTRO EXTERNO 	30943204",0,6,PERDEU," ",450,75
"FILTRO INTERNO 	30943200",0,6,PERDEU," ",306,51
"FILTRO DIESEL 	1457429359",0,10,PERDEU," ",250,25
"FILTRO LUBRIFICANTE 	836436346",0,10,PERDEU," ",460,46
