descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Divisória 35 mm do tipo naval simples",0,274.3,VENCEU," ",22171.67,80.83
"Porta (2,11 m x 0,82 m) para divisória",0,12,VENCEU," ",2363.52,196.96
"Vidro liso 3 mm",0,4,VENCEU," ",612.32,153.08
"Mão de obra de montagem de divisórias",0,274.3,VENCEU," ",2553.73,9.31
