variavel,correlacao_pearson,correlacao_absoluta,p_valor,amostra_utilizada
valor_estimado,0.963805332078329,0.963805332078329,0.0,41749
log1p_valor_estimado,0.7035777617065105,0.7035777617065105,0.0,41749
diferenca_estimado_homologado,0.643656323757337,0.643656323757337,0.0,41749
log1p_valor_estimado_por_participante,0.6416502859475494,0.6416502859475494,0.0,41749
valor_estimado_por_participante,0.5800803690385223,0.5800803690385223,0.0,41749
log1p_valor_estimado_por_item_licitacao,0.5323399834832101,0.5323399834832101,0.0,41749
log1p_quantidade_item,0.47555590582704155,0.47555590582704155,0.0,41749
log1p_num_participantes_licitacao,0.3710283691302698,0.3710283691302698,0.0,41749
sqrt_num_participantes_licitacao,0.35852160792580484,0.35852160792580484,0.0,41749
registro_precos_bool,0.3577635321176423,0.3577635321176423,0.0,41749
sqrt_num_itens_proposta_licitacao,0.35239110447972477,0.35239110447972477,0.0,41749
sqrt_quantidade_item,0.3456383779544369,0.3456383779544369,0.0,41749
has_contrato,-0.33726561191180976,0.33726561191180976,0.0,41749
has_ata_registro_precos,0.33034628661757726,0.33034628661757726,0.0,41749
log1p_num_itens_proposta_licitacao,0.3286521964780644,0.3286521964780644,0.0,41749
num_itens_proposta_licitacao,0.3283640819051338,0.3283640819051338,0.0,41749
log1p_valor_total_item,0.3283483062104323,0.3283483062104323,0.0,41749
num_participantes_licitacao,0.3228212982193785,0.3228212982193785,0.0,41749
dia_publicacao,-0.2677376546108461,0.2677376546108461,0.0,41749
log1p_valor_unitario_item,-0.24408098679636667,0.24408098679636667,0.0,41749
objeto_num_palavras,-0.24141943321505643,0.24141943321505643,0.0,41749
quantidade_item,0.22435504154116548,0.22435504154116548,0.0,41749
numero_processo,0.21807987294523778,0.21807987294523778,0.0,41749
numero_licitacao,0.21807987294523778,0.21807987294523778,0.0,41749
objeto_num_chars,-0.21439781594168045,0.21439781594168045,0.0,41749
has_empenhos,0.20936937659785781,0.20936937659785781,0.0,41749
dia_homologacao,-0.20447190598146653,0.20447190598146653,0.0,41725
mes_homologacao,0.19232937481159584,0.19232937481159584,0.0,41725
julgamento_menor_preco,-0.17844813464025902,0.17844813464025902,9.383029779399412e-296,41749
log1p_num_itens_proposta_participante,0.17631489362260355,0.17631489362260355,1.1507308264136138e-288,41749
desconto_relativo_estimado_homologado,-0.1571771009017009,0.1571771009017009,4.250217623389866e-229,41749
sqrt_num_itens_proposta_participante,0.14649162087241896,0.14649162087241896,5.878855699131104e-199,41749
dias_publicacao_ate_homologacao,0.14432329406809727,0.14432329406809727,5.314198165063554e-193,41725
valor_estimado_por_item_licitacao,0.14026755298089222,0.14026755298089222,2.030488464746213e-182,41749
is_pregao,0.1382186541156606,0.1382186541156606,3.879644296967362e-177,41749
densidade_texto_objeto,0.13613503497190851,0.13613503497190851,7.531786356822242e-172,41749
