,correlacao
valorUnitarioReferencia,0.9518128080135674
valorTotalVencedor,0.5378349049635888
valorTotalReferencia,0.44805599641379856
unidadeMedida_SV,0.09957544198704563
unidadeMedida_SER,0.07689572624776574
diferenca_total_referencia_vencedor,0.04920898294385511
unidadeMedida_SERV,0.03424602320877401
quantidade_em_escala_logaritmica,-0.03347500740642708
ano_pasta,0.021997380424899366
unidadeMedida_OUTROS,-0.021924607928665588
unidadeMedida_UND,0.016587895452410822
unidadeMedida_UN,-0.006623053308800418
unidadeMedida_KG,-0.005987684223992881
unidadeMedida_CX,-0.004881514347280784
unidadeMedida_COMP,-0.0048709420148353826
unidadeMedida_M,-0.0047125843058050485
unidadeMedida_MES,0.0047017711819791605
unidadeMedida_UNI,-0.004434425036797528
unidadeMedida_PCT,-0.0037008025807995304
unidadeMedida_PÇA,-0.0035095974216245644
unidadeMedida_FR.,-0.0026060876134972855
quantidade,-0.0023828125042231747
unidadeMedida_PC,-0.002357269208032602
unidadeMedida_AMP,-0.0022552350373662047
unidadeMedida_BLC,-0.0022217256075682656
unidadeMedida_PAR,-0.002221418932030879
unidadeMedida_FRA,-0.0022136349562715068
unidadeMedida_GAL,-0.0021420027253791756
unidadeMedida_RL,-0.001929110678025182
unidadeMedida_LAT,-0.0019274465961485955
unidadeMedida_BLD,-0.0017703742120264401
unidadeMedida_KIT,-0.0017486880121191301
unidadeMedida_CP,-0.001700754252314363
unidadeMedida_HORA,-0.0016762908428886105
unidadeMedida_BR,-0.0015808376709500298
unidadeMedida_M3,-0.0015379654564426847
unidadeMedida_TB,-0.0014973045207946612
unidadeMedida_EMB,-0.0014837602016864078
unidadeMedida_LT,-0.0014153175456086166
unidadeMedida_PEÇA,-0.0013706479842247974
unidadeMedida_CENT,-0.001346053683351962
unidadeMedida_TON,-0.0013348291032493486
ano_pandemia,0.001203560489874657
unidadeMedida_FR,-0.0011500143992237129
unidadeMedida_BLOC,-0.0011317893985531477
unidadeMedida_POT,-0.0010822955136903956
unidadeMedida_FRD,-0.001080450455759496
unidadeMedida_ROLO,-0.0010485995889840329
unidadeMedida_CXA,-0.0010226240767666906
unidadeMedida_CAR,-0.001011207680736141
unidadeMedida_L,-0.0009935059842234159
unidadeMedida_UNID,-0.0007852634058714643
unidadeMedida_M2,0.000308738226600487
razao_valor_vencedor_referencia,-0.00017825500198907388
percentual_desconto_vencedor,0.00017825500198907104
