descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"cabo aço galv. a. fibra 1/4",1275507,81,50,ATIVO,METRO,199,3.98
"cabo rede comp. azul 8 x 24 AWG",1275510,95,1500,ATIVO,METRO,2175,1.45
"cabo pp 3 x 1,5mm",1275526,100,700,ATIVO,METRO,1799,2.57
"cabo pp 3 x 1,0mm",1275527,99,700,ATIVO,METRO,1365,1.95
"cabo pp 2 x 2,5mm",1275528,98,1500,ATIVO,METRO,4305,2.87
"CABO PP 2 X 1,5MM PRETO",1275529,97,1500,ATIVO,METRO,2805,1.87
"cabo pp 2 x 1,0mm",1275530,96,700,ATIVO,METRO,826,1.18
"cilindro fechadura 735/835 LC",1275547,148,120,ATIVO,UNIDADE,1678.8,13.99
"Chuveiro Elétrico,material termo-plástico,variações de tempe",1275548,147,100,ATIVO,UNIDADE,1999,19.99
"chapa aluminio 60cm",1275549,146,100,ATIVO,METRO,2440,24.4
"chapa aluminio 30cm",1275550,145,150,ATIVO,METRO,2998.5,19.99
"cx dágua fibra 1.000 litros",1275558,184,10,ATIVO,UNIDADE,3400,340
"cx dágua fibra    500 litros",1275559,183,10,ATIVO,UNIDADE,1820,182
"cx dágua fibra    310 litros",1275560,182,15,ATIVO,UNIDADE,2220,148
"curva esgoto curta  75 x 90º",1275562,180,5,ATIVO,UNIDADE,59.5,11.9
"curva eletroduto pvc anti-chama 3/4 x 90º preta",1275565,177,20,ATIVO,UNIDADE,31,1.55
"curva eletroduto pvc anti-chama 3/4 x 180º preta",1275566,176,20,ATIVO,UNIDADE,48,2.4
"curva eletroduto pvc anti-chama 2 x 90º preta",1275568,175,10,ATIVO,UNIDADE,59,5.9
"curva eletroduto pvc anti-chama 1/2 x 90º preta",1275569,173,20,ATIVO,UNIDADE,17.8,0.89
"curva eletroduto pvc anti-chama 1.1/2 x 90º preta",1275570,172,10,ATIVO,UNIDADE,39.9,3.99
"curva eletroduto pvc anti-chama 1  x 90º preta",1275571,171,20,ATIVO,UNIDADE,39.2,1.96
"curva eletroduto pvc anti-chama 1  x 180º preta",1275572,170,20,ATIVO,UNIDADE,82.6,4.13
"curva eletroduto pvc anti-chama  1.1/2 x 180º preta",1275573,169,10,ATIVO,UNIDADE,47,4.7
"cumeeira de amianto para telhado 6mm x 0,50 15º",1275574,168,200,ATIVO,UNIDADE,6780,33.9
"cumeeira de amianto para telhado 4mm x 0,50 (par)",1275575,167,200,ATIVO,UNIDADE,998,4.99
"curva eletroduto pvc anti-chama 2 x 180º preta",1275578,174,20,ATIVO,UNIDADE,177.6,8.88
"CAIXA INSPECAO PSASSAGEM ESGOTO",1275583,113,100,ATIVO,UNIDADE,2999,29.99
"caçamba carrinho de mao (pvc)",1275590,106,15,ATIVO,UNIDADE,404.85,26.99
"cabo sintenax  6,0mm",1275591,105,500,ATIVO,METRO,1295,2.59
"cabo sintenax  4,0mm",1275592,104,1500,ATIVO,METRO,2685,1.79
"cabo sintenax  2,5mm",1275593,103,1500,ATIVO,METRO,1485,0.99
"cabo rede comp. azul 8 x 24 AWG",1275594,102,1500,ATIVO,METRO,1425,0.95
"CALHA FLUORESCENTE  COMERCIAL 2 X 20W",1275603,117,3500,ATIVO,PEÇA,25550,7.3
"CALHA FLUORESCENTE  COMERCIAL 2 X 40W",1275604,118,1600,ATIVO,PEÇA,18880,11.8
"carrinho de mão de chapa",1275609,133,7,ATIVO,UNIDADE,622.3,88.9
"cap soldável 60mm",1275610,132,25,ATIVO,UNIDADE,175,7
"cap esgoto  50mm",1275616,126,25,ATIVO,UNIDADE,62,2.48
