ano,data,dataVencimento,itens,numero,ocorrencias
2016,2016-01-07,2017-01-07,"itens_9b5b14ad-7bf1-41f7-bfd1-57f170c04d00.csv",35," "
2016,2016-01-07,2017-01-07,"itens_95e86e69-f64d-47ef-b9d7-cf769c4b5deb.csv",24," "
2016,2016-01-07,2017-01-07,"itens_53c9134d-8674-459a-a2f9-49b641f9c4f9.csv",25," "
2016,2016-01-07,2017-01-07,"itens_ecca5db2-80ae-4d43-bce7-b24112ff6cc4.csv",26," "
2016,2016-01-07,2017-01-07,"itens_91f984d4-d83d-45b3-b92a-09f5ec278bcd.csv",28," "
2016,2016-01-07,2017-01-07,"itens_b50801c1-4482-4a0b-aab8-11df971214bf.csv",34," "
2016,2016-01-07,2017-01-07,"itens_bbf8c99c-000e-4dce-91d8-65befb417535.csv",33," "
2016,2016-01-07,2017-01-07,"itens_3f389adc-a838-4d29-aea1-60a7b1e29623.csv",23," "
2016,2016-01-07,2017-01-07,"itens_49ef2de6-15a4-40e2-92c5-a58d09125847.csv",29," "
2016,2016-01-07,2017-01-07,"itens_0c1e184e-ae93-4efc-a51d-ce7c5c31074c.csv",1," "
2016,2016-01-07,2017-01-07,"itens_2182c2d1-a36d-46b8-922e-e70d301d781f.csv",32," "
2016,2016-01-07,2017-01-07,"itens_890eb669-35c5-4cc4-ad94-5e0b3ff29fc9.csv",30," "
2016,2016-01-07,2017-01-07,"itens_3975c2d3-4902-4683-afa7-0dc452d2b6ae.csv",31," "
2016,2016-01-07,2017-01-07,"itens_5409f3df-932f-4952-ad4b-48e3dc112565.csv",27," "
