ano,data,dataVencimento,itens,numero,ocorrencias
2016,2016-01-07,2017-01-07,"itens_3a27a39c-631b-4780-b6ef-416b9b207547.csv",66," "
2016,2016-01-07,2017-01-07,"itens_461d9608-6b57-4b5d-bf05-d00eedc3164e.csv",69," "
2016,2016-01-07,2017-01-07,"itens_157f53cc-90ab-41eb-9765-27b173be8d1c.csv",73," "
2016,2016-01-07,2017-01-07,"itens_ed7b4906-01fd-460a-ac0e-4c4baa6cd806.csv",68," "
2016,2016-01-07,2017-01-07,"itens_dbdfb500-58be-4032-838f-2f0b57994996.csv",2," "
2016,2016-01-07,2017-01-07,"itens_59baeeb5-40be-4f3d-8046-514ea54a98b3.csv",71," "
2016,2016-01-07,2017-01-07,"itens_9f0eda70-2048-4c36-826e-0dc60e2d622d.csv",74," "
2016,2016-01-07,2017-01-07,"itens_2201dcda-fa5b-4a2b-8866-75497bec6129.csv",72," "
2016,2016-01-07,2017-01-07,"itens_76764735-4b71-4b07-a673-63824a076caf.csv",67," "
2016,2016-01-07,2017-01-07,"itens_b4e6334c-90b2-4370-a2ff-b2f56f8bbd16.csv",70," "
