descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"MICROCOMPUTADOR LINUX",4427380,8,PERDEU,UN,9120,1140
"MICROCOMPUTADOR WINDOWS",4427381,2,INABILITADO,UN,2960,1480
