arquivo,data,descricao,numero,tipo
"e28bf7e4-fa13-4590-9b32-ec82ced54ba8",2023-09-29,"TP 223.PMC.2023 - Sinalização piso  tatil  terminais.pdf"," ",EDITAL
"a94de22a-874e-4a4c-9ed1-661b705e7547",2023-09-29,"64f8df3ed987d06092023.pdf"," ",publicação
"4b6ef278-fb89-4921-ba18-acaff63c02c2",2023-09-29,"TermodeHomologaoeAdjudicaounificado.pdf"," ",HOMOLOGAÇÃO
"3b040469-a016-48cc-bf56-d02eaecf1928",2023-09-29,"ATA TP 223.PMC.2023 - 2 recebimento proposta conferida e homologação.pdf"," ","ata de sessão"
"4e40e7e7-6bb7-41d6-a9e7-d818f25254a5",2023-09-29,"ATA TP 223.PMC.2023 - 1 abertura habilitação com representantes.pdf"," ","ata de sessão"
"c9338580-38cf-46df-814c-d59fae05c6bc",2025-10-03,"PARECER JURIDICO-TP 223.PMC.2023 - Sinalização piso  tatil  terminais.pdf"," ","PARECER JURIDICO"
"592500aa-e4b7-4bb2-96f6-6bd47ff6b280",2025-10-06,"REV 01 TERMINAL CENTRAL PLATAFORMA.pdf"," ",ANEXOS
"52dbbbad-d568-4e88-ae44-89dd829d4b6f",2025-10-06,"REV 01 TERMINAL CENTRAL GALERIA.pdf"," ",ANEXOS
"76f09f4f-73f1-44f6-9a91-760e2028e088",2025-10-06,"REV 01  TERMINAL PINHEIRINHO.pdf"," ",ANEXOS
"b35715d8-987d-4aca-a6ae-faca45397e5f",2025-10-06,"REV 01 TERMINAL PRÓSPERA.pdf"," ",ANEXOS
"9c1f02cc-3d7f-44f9-87d4-b0d8994ec4ad",2025-10-06,"REV 01 Relatório Técnico Terminais + anexos.pdf"," ",ANEXOS
"61ce0147-d3a4-4be2-a9eb-34d4df76f306",2025-10-06,"Orçamento Sintético - Terminais.pdf"," ",ANEXOS
