arquivo,data,descricao,numero,tipo
"c5d51338-5a1e-463b-a4b5-1f741b9da9d3",2023-09-27,"TP 198.PMC.2023 -  confecção e instalação sob demanda de guarda corpo.pdf"," ",EDITAL
"eef8359e-c27f-4203-bb98-c05c1af5c745",2023-09-27,"TermodeHomologaoeAdjudicaounificado.pdf"," ",HOMOLOGAÇÃO
"b7e50988-3bf5-4d94-97ed-3767db32c5bd",2023-09-27,"64c41fd3da22628072023.pdf"," ",publicação
"04008388-8aac-45b3-9d1e-f1858ed7478b",2023-09-27,"ATA TP 198.PMC.2023 - 3 encerramento contra e encaminhamento juridico.pdf"," ","ata de sessão"
"2943cd9a-0a89-4cb6-8613-e8958acec800",2023-09-27,"ATA TP 198.PMC.2023 - 6 abertura das propostas sem representante.pdf"," ","ata de sessão"
"35c27271-a02b-4375-a32a-cb05a9398238",2023-09-27,"ATA TP 198.PMC.2023 - 4 registro recebimento paracer juridico -desprovimento.pdf"," ","ata de sessão"
"147ae699-a6cc-40e2-a105-06a44481eba2",2023-09-27,"ATA TP 198.PMC.2023 - 7 recebimento proposta conferida e encaminhamento para nova proposta.pdf"," ","ata de sessão"
"be1f9902-a612-4208-82ba-02151449a801",2023-09-27,"ATA TP 198.PMC.2023 - 2 recebimento recurso abertura de contrarrazões.pdf"," ","ata de sessão"
"dc6e5b96-12a4-4999-8aa4-8c38330d6704",2023-09-27,"ATA TP 198.PMC.2023 - 1 abertura habilitação com representantes.pdf"," ","ata de sessão"
"25b08caa-45dc-481e-ad26-502fe08316c2",2023-09-27,"ATA TP 198.PMC.2023 - 8 recebimento nova proposta homologação.pdf"," ","ata de sessão"
"ba5b4178-2d3b-4f81-a257-fe2d95e40ae9",2025-10-03,"PARECER JURIDICO-TP 198.PMC.2023 -  confecção e instalação sob demanda de guarda corpo.pdf"," ","PARECER JURIDICO"
"9647870a-3894-414e-ba82-7acb06f46b51",2025-10-06,ORC_SIN_Guarda-corpo.pdf," ",ANEXOS
"f8d55163-b007-4665-9382-45a2d397aa1b",2025-10-06,"Guarda-Corpo Generico.pdf"," ",ANEXOS
