arquivo,data,descricao,numero,tipo
"85f0a2de-cb19-4c47-9d60-154758345505",2023-06-02,"PRE 111.PMC.2023 - RP de materiais de sistema de alarme de incêndio.pdf"," ",Edital
"608ae300-5292-4cdf-910c-426c590af2bf",2025-10-03,"REVOGAÇÃO de Pregão Eletrônico nº 111.PMC.2023 - Revogada.pdf"," ",Outros
