arquivo,data,descricao,numero,tipo
"1ece11e8-0f86-4877-952d-004cafc684a6",2024-07-18,"CP 238.PMC.2023.pdf"," ",EDITAL
"36a21b8f-bbce-4b09-a463-2df06a46544e",2024-01-12,"ATA CP 238.PMC.2023 - 2 análise da documentação - parecer técnico.pdf"," ","ata de sessão"
"14a2499a-9477-4c49-894f-31692dfd1f89",2024-01-12,"ATA CP 238.PMC.2023 - 1 abertura habilitação com representantes.pdf"," ","ata de sessão"
"36d05b6e-f16c-4b83-b162-cf6bca60ff40",2024-01-12,"Edital de Concorrência nº 238.PMC.2023 - anulação.pdf"," ",REVOGAÇÃO
"731602a1-aeea-4b1a-a67e-7d02f6fc6160",2025-10-06,"P9 - EMEB AMARO JOÃO BATISTA 29-08-2023.pdf"," ",ANEXOS
"7444d7c7-4923-42e3-ad52-d70bf7be7ec7",2025-10-06,"P10 - EMEB AMARO JOÃO BATISTA 29-08-2023.pdf"," ",ANEXOS
"7aa4da29-3a2c-4794-8411-3969fa408e11",2025-10-06,"Memorial AJB 29-08-2023.pdf"," ",ANEXOS
"fe3bc1e3-87dd-4ac7-b213-92dbe37baeef",2025-10-06,"Orçamento Sintético - EMEB João Amaro.pdf"," ",ANEXOS
"01be589a-70aa-4128-a7da-5abeb7a16300",2025-10-06,"P8 - EMEB AMARO JOÃO BATISTA 29-08-2023.pdf"," ",ANEXOS
"c357fcac-2d9a-46fb-b020-23794e78ce36",2025-10-06,"P4 - EMEB AMARO JOÃO BATISTA 29-08-2023.pdf"," ",ANEXOS
"acece8bd-6d3e-489a-a081-399b2b7834a0",2025-10-06,"P3 - EMEB AMARO JOÃO BATISTA 29-08-2023.pdf"," ",ANEXOS
"454178e4-f7d2-4fff-a92c-b4656e5751e3",2025-10-06,"P7 - EMEB AMARO JOÃO BATISTA 29-08-2023.pdf"," ",ANEXOS
"776005cf-1ce9-4218-ac38-b6727213162e",2025-10-06,"P2 - EMEB AMARO JOÃO BATISTA 29-08-2023.pdf"," ",ANEXOS
"8406b26c-b9bb-445d-9e65-334ccb7b4bf6",2025-10-06,"P6 - EMEB AMARO JOÃO BATISTA 29-08-2023.pdf"," ",ANEXOS
"dd75527b-e6a3-4f09-ab3b-3ac73e8c4931",2025-10-06,"P11 - EMEB AMARO JOÃO BATISTA 29-08-2023.pdf"," ",ANEXOS
"8fd66e43-27f7-409c-b6b8-c514a24798d7",2025-10-06,"P5 - EMEB AMARO JOÃO BATISTA 29-08-2023.pdf"," ",ANEXOS
