ano_dados,arquivo,caminho,tipo_arquivo,encoding_detectado,qtd_colunas,colunas_json,tipos_inferidos_json,header_hash,linhas_amostra
2015,27_processoslicitatorios-61218.csv,data\2015\27_processoslicitatorios-61218.csv,processos_licitatorios,utf-8,42,"[""nomeEntidade"", ""numeroProcesso"", ""anoProcesso"", ""numeroLicitacao"", ""anoLicitacao"", ""dataPublicacao"", ""objeto"", ""modalidade"", ""tipoObjeto"", ""formaJulgamento"", ""dataHomologacao"", ""situacao"", ""adesao"", ""atasRegistroPrecos"", ""cidadeCertame"", ""contratos"", ""dataAberturaEnvelopes"", ""dataAnulacao"", ""dataCriacao"", ""dataJulgamento"", ""dataRevogacao"", ""despesas"", ""documentosRelacionados"", ""emailContato"", ""empenhos"", ""enderecoCertame"", ""enderecoEntrega"", ""estadoCertame"", ""formaContratacao"", ""inicioRecebimentoEnvelopes"", ""itensVencedores"", ""meioDivulgacao"", ""motivoAnulacao"", ""motivoRevogacao"", ""nomeContato"", ""participantes"", ""registroPrecos"", ""telefoneContato"", ""terminoRecebimentoEnvelopes"", ""fundamentoLegal"", ""valorEstimado"", ""valorHomologado""]","{""nomeEntidade"": ""text"", ""numeroProcesso"": ""numeric_like"", ""anoProcesso"": ""numeric_like"", ""numeroLicitacao"": ""numeric_like"", ""anoLicitacao"": ""numeric_like"", ""dataPublicacao"": ""datetime_like"", ""objeto"": ""text"", ""modalidade"": ""text"", ""tipoObjeto"": ""text"", ""formaJulgamento"": ""text"", ""dataHomologacao"": ""datetime_like"", ""situacao"": ""text"", ""adesao"": ""empty"", ""atasRegistroPrecos"": ""text"", ""cidadeCertame"": ""text"", ""contratos"": ""text"", ""dataAberturaEnvelopes"": ""datetime_like"", ""dataAnulacao"": ""empty"", ""dataCriacao"": ""datetime_like"", ""dataJulgamento"": ""datetime_like"", ""dataRevogacao"": ""empty"", ""despesas"": ""text"", ""documentosRelacionados"": ""text"", ""emailContato"": ""text"", ""empenhos"": ""empty"", ""enderecoCertame"": ""text"", ""enderecoEntrega"": ""text"", ""estadoCertame"": ""text"", ""formaContratacao"": ""text"", ""inicioRecebimentoEnvelopes"": ""datetime_like"", ""itensVencedores"": ""text"", ""meioDivulgacao"": ""text"", ""motivoAnulacao"": ""empty"", ""motivoRevogacao"": ""empty"", ""nomeContato"": ""text"", ""participantes"": ""text"", ""registroPrecos"": ""boolean_like"", ""telefoneContato"": ""empty"", ""terminoRecebimentoEnvelopes"": ""datetime_like"", ""fundamentoLegal"": ""text"", ""valorEstimado"": ""numeric_like"", ""valorHomologado"": ""numeric_like""}",daf77f10be0ce2313c626b33b4fa2e1206811cae,50
2015,atasRegistroPrecos_01a638a1-9f24-4a50-bdc0-7d432ad3f7d3.csv,data\2015\atasRegistroPrecos_01a638a1-9f24-4a50-bdc0-7d432ad3f7d3.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,2
2015,atasRegistroPrecos_06f14036-0d26-4b82-8091-eb974d07ae56.csv,data\2015\atasRegistroPrecos_06f14036-0d26-4b82-8091-eb974d07ae56.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2015,atasRegistroPrecos_096cc97b-fd0a-4cc7-a5f7-c4feeaa16f46.csv,data\2015\atasRegistroPrecos_096cc97b-fd0a-4cc7-a5f7-c4feeaa16f46.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2015,atasRegistroPrecos_09aed59a-e3da-4246-9c7c-a6e3d19a604c.csv,data\2015\atasRegistroPrecos_09aed59a-e3da-4246-9c7c-a6e3d19a604c.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,4
2015,atasRegistroPrecos_09f21de6-77be-439c-a00f-8cbaecd3d82e.csv,data\2015\atasRegistroPrecos_09f21de6-77be-439c-a00f-8cbaecd3d82e.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2015,atasRegistroPrecos_0dede05f-bacf-49ee-89bd-9918f8795102.csv,data\2015\atasRegistroPrecos_0dede05f-bacf-49ee-89bd-9918f8795102.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,2
2015,atasRegistroPrecos_0f3a6d6b-03b8-4585-97fe-d422b8881a91.csv,data\2015\atasRegistroPrecos_0f3a6d6b-03b8-4585-97fe-d422b8881a91.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,10
2015,atasRegistroPrecos_151681ca-9696-47be-ab45-d401a9c55dc3.csv,data\2015\atasRegistroPrecos_151681ca-9696-47be-ab45-d401a9c55dc3.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2015,atasRegistroPrecos_1cd227c5-4768-464a-98e1-f18a85432720.csv,data\2015\atasRegistroPrecos_1cd227c5-4768-464a-98e1-f18a85432720.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,13
