,valor_homologado,valor_estimado,log1p_valor_estimado,diferenca_estimado_homologado,log1p_valor_estimado_por_participante,valor_estimado_por_participante,log1p_valor_estimado_por_item_licitacao,log1p_quantidade_item,log1p_num_participantes_licitacao,sqrt_num_participantes_licitacao,registro_precos_bool,sqrt_num_itens_proposta_licitacao,sqrt_quantidade_item,has_contrato,has_ata_registro_precos,log1p_num_itens_proposta_licitacao,num_itens_proposta_licitacao,log1p_valor_total_item,num_participantes_licitacao
valor_homologado,1.0,0.9638053320783282,0.7035777617065052,0.6436563237573442,0.6416502859475404,0.5800803690385203,0.5323399834832047,0.47555590582703755,0.37102836913026965,0.3585216079257994,0.35776353211764467,0.35239110447972405,0.34563837795443897,-0.3372656119118075,0.33034628661757737,0.3286521964780572,0.32836408190513017,0.32834830621043165,0.3228212982193785
valor_estimado,0.9638053320783282,1.0,0.7711794471090587,0.8243976286266121,0.679523253873516,0.5577335028823246,0.5305728179172692,0.5373895306637071,0.443466604293692,0.4314775361645981,0.40657037315358757,0.4599426701069584,0.3703575740076775,-0.38064912882481705,0.3648873231681342,0.4168312134623996,0.4436531970683199,0.3354029698817113,0.39270540530160786
log1p_valor_estimado,0.7035777617065052,0.7711794471090587,1.0,0.7200191348023042,0.8540034674338342,0.45271845770879887,0.6433574988830898,0.547146932126091,0.6096277230429729,0.5880848624006406,0.6448620526946601,0.6254637993104218,0.2856057139673743,-0.6323045091747528,0.49188030215957657,0.5840255158336215,0.6106489612211785,0.41084634862738156,0.5415479106111493
diferenca_estimado_homologado,0.6436563237573442,0.8243976286266121,0.7200191348023042,1.0,0.5883864558791781,0.36949411132930454,0.3928810345331731,0.5330024510785396,0.4853035935809118,0.4774401679324875,0.4075517584036237,0.5721665601592267,0.32934219852687,-0.3766603753708178,0.34610481306232177,0.4988100977972365,0.5764162183768936,0.2657095852460876,0.44193431108178316
log1p_valor_estimado_por_participante,0.6416502859475404,0.679523253873516,0.8540034674338342,0.5883864558791781,1.0,0.5878214831139045,0.7061974284559046,0.5177216374498509,0.10944965599948876,0.09940353025611333,0.6591422573827082,0.3935856560677222,0.2664418450687045,-0.6255765759752442,0.5607890642512527,0.33288330589169635,0.4013856767002096,0.3556313512906354,0.08252194024681941
valor_estimado_por_participante,0.5800803690385203,0.5577335028823246,0.45271845770879887,0.36949411132930454,0.5878214831139045,1.0,0.48909806817411744,0.26375547713687436,-0.0261142335133518,-0.0301445717560157,0.15677182526355277,0.08473779496048815,0.1908038363538794,-0.21528051918943042,0.15846173861032076,0.05654347917529066,0.08562615625846806,0.25276683858656623,-0.040517567973333
log1p_valor_estimado_por_item_licitacao,0.5323399834832047,0.5305728179172692,0.6433574988830898,0.3928810345331731,0.7061974284559046,0.48909806817411744,1.0,0.45156224279278095,0.15767636164186738,0.1569744540868167,0.40520747261114864,-0.13244726729508352,0.20890927568830459,-0.43323552412175065,0.3569025194936331,-0.2452957949464779,-0.06392735184764932,0.6644162317638276,0.15020735489903855
log1p_quantidade_item,0.47555590582703755,0.5373895306637071,0.547146932126091,0.5330024510785396,0.5177216374498509,0.26375547713687436,0.45156224279278095,1.0,0.2564752094634199,0.23887379052242194,0.42626886688548243,0.2686812594394033,0.6270029399000026,-0.3979416496264886,0.46540267117076334,0.2143282958528655,0.28545227742788437,0.46456365335706673,0.2063049094646359
log1p_num_participantes_licitacao,0.37102836913026965,0.443466604293692,0.6096277230429729,0.4853035935809118,0.10944965599948876,-0.0261142335133518,0.15767636164186738,0.2564752094634199,1.0,0.983233151267811,0.2239708861201305,0.5967108744721413,0.13998125697852662,-0.2527660561533618,0.0778264383193043,0.6047639004066039,0.559340997439699,0.2436902204725998,0.9282143712588474
sqrt_num_participantes_licitacao,0.3585216079257994,0.4314775361645981,0.5880848624006406,0.4774401679324875,0.09940353025611333,-0.0301445717560157,0.1569744540868167,0.23887379052242194,0.983233151267811,1.0,0.21013536435149258,0.5830190725456608,0.1272189367988028,-0.2439101495600429,0.043426814700884345,0.5789642891469526,0.55636999822044,0.23784650026609144,0.9800451931636097
registro_precos_bool,0.35776353211764467,0.40657037315358757,0.6448620526946601,0.4075517584036237,0.6591422573827082,0.15677182526355277,0.40520747261114864,0.42626886688548243,0.2239708861201305,0.21013536435149258,1.0,0.41889857144470855,0.16481432436889876,-0.8978628483978864,0.8210485673167963,0.3856364958619572,0.42735412904853337,0.19546077704355228,0.19353209853532793
sqrt_num_itens_proposta_licitacao,0.35239110447972405,0.4599426701069584,0.6254637993104218,0.5721665601592267,0.3935856560677222,0.08473779496048815,-0.13244726729508352,0.2686812594394033,0.5967108744721413,0.5830190725456608,0.41889857144470855,1.0,0.18447348807345537,-0.36885824927472116,0.2388896180094313,0.9381885242987028,0.9755874129041365,-0.12294382339924038,0.5438015150814223
