variavel,correlacao_pearson,correlacao_absoluta,p_valor,amostra_utilizada
valor_estimado,0.9696304784016059,0.9696304784016059,0.0,186361
log1p_valor_estimado,0.7440863996627765,0.7440863996627765,0.0,186361
log1p_valor_estimado_por_participante,0.6437299881387742,0.6437299881387742,0.0,186361
valor_estimado_por_participante,0.5297654754931792,0.5297654754931792,0.0,186361
log1p_quantidade_item,0.5286662278166088,0.5286662278166088,0.0,186361
log1p_num_itens_proposta_licitacao,0.43053710891749497,0.43053710891749497,0.0,186361
log1p_valor_estimado_por_item_licitacao,0.40529643821869604,0.40529643821869604,0.0,186361
sqrt_quantidade_item,0.3880142512689579,0.3880142512689579,0.0,186361
log1p_num_participantes_licitacao,0.38386555049082227,0.38386555049082227,0.0,186361
sqrt_num_participantes_licitacao,0.3656500835046955,0.3656500835046955,0.0,186361
sqrt_num_itens_proposta_licitacao,0.3386100632034573,0.3386100632034573,0.0,186361
log1p_valor_unitario_item,-0.32632293212244456,0.32632293212244456,0.0,186361
num_participantes_licitacao,0.3244178808464894,0.3244178808464894,0.0,186361
has_ata_registro_precos,0.30458306090091514,0.30458306090091514,0.0,186361
registro_precos_bool,0.3029066010596844,0.3029066010596844,0.0,186361
has_contrato,-0.29382681257545407,0.29382681257545407,0.0,186361
log1p_valor_total_item,0.2910833423722784,0.2910833423722784,0.0,186361
log1p_num_itens_proposta_participante,0.25793337252889853,0.25793337252889853,0.0,186361
quantidade_item,0.2575911438793969,0.2575911438793969,0.0,186361
has_despesa,-0.24273775401273073,0.24273775401273073,0.0,186361
mes_publicacao,0.22810876478208184,0.22810876478208184,0.0,185997
dia_publicacao,0.209256092841662,0.209256092841662,0.0,185997
num_itens_proposta_licitacao,0.18580391093709303,0.18580391093709303,0.0,186361
sqrt_num_itens_proposta_participante,0.1844979625224214,0.1844979625224214,0.0,186361
meio_divulgacao_internet,0.1531274422407119,0.1531274422407119,0.0,186361
meio_divulgacao_mural_publico,-0.14485733833251702,0.14485733833251702,0.0,186361
is_pregao,0.14430185558103398,0.14430185558103398,0.0,186361
is_convite,-0.13784151872774428,0.13784151872774428,0.0,186361
valor_estimado_por_item_licitacao,0.13415406295386217,0.13415406295386217,0.0,186361
item_desclassificado,0.13074408816197974,0.13074408816197974,0.0,186361
dia_homologacao,-0.12255527270427508,0.12255527270427508,0.0,186299
has_empenhos,0.12234350004300935,0.12234350004300935,0.0,186361
proporcao_valor_item_no_participante,-0.11279747568089624,0.11279747568089624,0.0,186361
num_itens_proposta_participante,0.10970399411204995,0.10970399411204995,0.0,186361
item_venceu,-0.09061342498204755,0.09061342498204755,0.0,186361
julgamento_menor_preco,0.08483943897410516,0.08483943897410516,1.0268645661553728e-294,186361
descricao_item_num_chars,0.0810348078962676,0.0810348078962676,5.583882390026513e-269,186361
mes_homologacao,0.07920933332531778,0.07920933332531778,5.697541009198308e-257,186299
valor_total_item_por_participante,0.0778668701902509,0.0778668701902509,1.8389307697679063e-248,186361
descricao_item_num_palavras,0.0733932124021481,0.0733932124021481,6.785235003264241e-221,186361
numero_licitacao,0.06793891727069089,0.06793891727069089,1.6472934860058746e-189,186361
numero_processo,0.06793683935758256,0.06793683935758256,1.6914637006441535e-189,186361
is_dispensa,-0.06747452883321836,0.06747452883321836,5.973495180965509e-187,186361
densidade_texto_objeto,0.05761590822373565,0.05761590822373565,8.850315541262278e-137,186361
id,0.05691030744775197,0.05691030744775197,4.249554743207629e-133,185801
dias_publicacao_ate_homologacao,0.05528189483549787,0.05528189483549787,8.829521540498378e-126,185935
objeto_num_chars,0.05345920171835771,0.05345920171835771,5.263759395284759e-118,186361
densidade_texto_item,0.05273400922952107,0.05273400922952107,7.119140950577063e-115,186361
ano,0.04662242878721528,0.04662242878721528,5.151242843577758e-90,185997
ano_dados,0.0465849858743036,0.0465849858743036,4.80150770346232e-90,186361
ano_processo,0.0465849858743036,0.0465849858743036,4.80150770346232e-90,186361
ano_licitacao,0.0465849858743036,0.0465849858743036,4.80150770346232e-90,186361
has_documentos_relacionados,-0.04371699125953617,0.04371699125953617,1.6244973517770184e-79,186361
objeto_num_palavras,0.04250443967654843,0.04250443967654843,2.8941542344554187e-75,186361
valor_unitario_item,0.04171129427260233,0.04171129427260233,1.5048191719588906e-72,186361
situacao_licitacao_homologada,0.04086302799560555,0.04086302799560555,1.0610314325431119e-69,186361
situacao_licitacao_revogada,-0.040760824843565774,0.040760824843565774,2.317178218040583e-69,186361
item_inabilitado,-0.04004485119513592,0.04004485119513592,5.219893505324089e-67,186361
is_tomada_preco,-0.034506291295719235,0.034506291295719235,3.268894884471881e-50,186361
dias_publicacao_ate_abertura,0.03282887645200783,0.03282887645200783,1.823749676737241e-45,185727
valor_total_item,0.026950363224735305,0.026950363224735305,2.6918254786588314e-31,186361
valor_total_item_por_palavra_item,0.02450217017733769,0.02450217017733769,3.729424788185926e-26,186361
prazo_julgamento_apos_abertura,-0.024196965466713283,0.024196965466713283,1.6348168308553234e-25,186091
valor_total_item_por_palavra_objeto,0.024074519805183714,0.024074519805183714,2.632169884515239e-25,186361
is_inexigibilidade,0.017711744319403203,0.017711744319403203,2.0631697182107167e-14,186361
has_itens_vencedores,0.015184122224200373,0.015184122224200373,5.5548345003469266e-11,186361
is_chamada_publica_credenciamento,0.013622465944140658,0.013622465944140658,4.078183815091304e-09,186361
prazo_recebimento_dias,0.012172914721128388,0.012172914721128388,1.515616242093962e-07,186042
valor_total_item_vs_estimado,-0.006850092516582755,0.006850092516582755,0.003109016987500817,186308
valor_unitario_item_vs_estimado,-0.006427513290363019,0.006427513290363019,0.005531315815687344,186308
item_perdeu,-0.00583053990249606,0.00583053990249606,0.01183513328360826,186361
situacao_licitacao_anulada,-0.00291092714703578,0.00291092714703578,0.2088882376964942,186361
is_concorrencia,-0.0009663295988160962,0.0009663295988160962,0.6765632579552492,186361
