,valor_homologado,valor_estimado,log1p_valor_estimado,log1p_valor_estimado_por_participante,valor_estimado_por_participante,log1p_quantidade_item,log1p_num_itens_proposta_licitacao,log1p_valor_estimado_por_item_licitacao,sqrt_quantidade_item,log1p_num_participantes_licitacao,sqrt_num_participantes_licitacao,sqrt_num_itens_proposta_licitacao,log1p_valor_unitario_item,num_participantes_licitacao,has_ata_registro_precos,registro_precos_bool
valor_homologado,1.0,0.9696304784016092,0.7440863996627874,0.6437299881387611,0.5297654754931821,0.5286662278166018,0.4305371089175034,0.4052964382187046,0.3880142512689643,0.383865550490824,0.36565008350470024,0.33861006320345827,-0.326322932122451,0.3244178808464877,0.3045830609009207,0.30290660105968614
valor_estimado,0.9696304784016092,1.0,0.749686119603205,0.6187220978016374,0.47233028951105177,0.5658719121321599,0.4223476850965933,0.4218656984943657,0.3992984103797206,0.4317322718277905,0.4134783490058408,0.3086433366778075,-0.36167047734570795,0.36776256596368334,0.29713826756762973,0.30456455931432774
log1p_valor_estimado,0.7440863996627874,0.749686119603205,1.0,0.8242912935266566,0.39614508130804915,0.5072353106902917,0.6665731724336598,0.4306646015104488,0.30671058831508596,0.5647126134279057,0.5224752309809512,0.5254426820527128,-0.30008681029817136,0.45907532110491434,0.5044002194696174,0.5479032820184353
log1p_valor_estimado_por_participante,0.6437299881387611,0.6187220978016374,0.8242912935266566,1.0,0.5565805724238773,0.33651321850954785,0.5322012566595153,0.376787645612634,0.20813529589566968,-7.498841937659765e-05,-0.029015268248052017,0.5320792395921106,-0.24372462872993803,-0.05597860158758897,0.44609376206154744,0.47704084156735466
valor_estimado_por_participante,0.5297654754931821,0.47233028951105177,0.39614508130804915,0.5565805724238773,1.0,0.14063999349339504,0.20691705966932367,0.244742841058056,0.07267219340400291,-0.10905963184329767,-0.11814227491682602,0.23573037540732505,-0.0478124487387038,-0.1215349913222244,0.08759692007647721,0.10785055442979694
log1p_quantidade_item,0.5286662278166018,0.5658719121321599,0.5072353106902917,0.33651321850954785,0.14063999349339504,1.0,0.10509590547505693,0.5011487770041444,0.6542443394384406,0.41347183167433393,0.3958960726926294,-0.07025668635890835,-0.6524557023060881,0.3525494357034269,0.2614177335863351,0.2682140426989884
log1p_num_itens_proposta_licitacao,0.4305371089175034,0.4223476850965933,0.6665731724336598,0.5322012566595153,0.20691705966932367,0.10509590547505693,1.0,-0.38464320159458426,0.10389312724717958,0.39267877910591786,0.3542091268658176,0.8745042525913601,-0.27626192725039145,0.3096423740546482,0.48228917518844755,0.51080263827046
log1p_valor_estimado_por_item_licitacao,0.4052964382187046,0.4218656984943657,0.4306646015104488,0.376787645612634,0.244742841058056,0.5011487770041444,-0.38464320159458426,1.0,0.2555762502692632,0.22325364570865527,0.21820930924237,-0.4018156994518637,-0.03256169849054164,0.19424127618715303,0.04001291295847636,0.05918896038872442
sqrt_quantidade_item,0.3880142512689643,0.3992984103797206,0.30671058831508596,0.20813529589566968,0.07267219340400291,0.6542443394384406,0.10389312724717958,0.2555762502692632,1.0,0.24440451343574315,0.23854323255392368,0.030105426961363212,-0.35783775389543226,0.2163463764890994,0.1278275144552859,0.13243933204098082
log1p_num_participantes_licitacao,0.383865550490824,0.4317322718277905,0.5647126134279057,-7.498841937659765e-05,-0.10905963184329767,0.41347183167433393,0.39267877910591786,0.22325364570865527,0.24440451343574315,1.0,0.9786452139992364,0.14488389708590477,-0.17827851503233105,0.914625809636473,0.23864695820203813,0.2711255849667072
sqrt_num_participantes_licitacao,0.36565008350470024,0.4134783490058408,0.5224752309809512,-0.029015268248052017,-0.11814227491682602,0.3958960726926294,0.3542091268658176,0.21820930924237,0.23854323255392368,0.9786452139992364,1.0,0.12341278071364283,-0.17095853248873225,0.9774486002064213,0.21704209322306198,0.25054216407384866
sqrt_num_itens_proposta_licitacao,0.33861006320345827,0.3086433366778075,0.5254426820527128,0.5320792395921106,0.23573037540732505,-0.07025668635890835,0.8745042525913601,-0.4018156994518637,0.030105426961363212,0.14488389708590477,0.12341278071364283,1.0,-0.04907774829442395,0.10755064564378161,0.37607927614764464,0.3836855081607303
log1p_valor_unitario_item,-0.326322932122451,-0.36167047734570795,-0.30008681029817136,-0.24372462872993803,-0.0478124487387038,-0.6524557023060881,-0.27626192725039145,-0.03256169849054164,-0.35783775389543226,-0.17827851503233105,-0.17095853248873225,-0.04907774829442395,1.0,-0.15221852324983326,-0.3438591073833833,-0.3578244807083637
num_participantes_licitacao,0.3244178808464877,0.36776256596368334,0.45907532110491434,-0.05597860158758897,-0.1215349913222244,0.3525494357034269,0.3096423740546482,0.19424127618715303,0.2163463764890994,0.914625809636473,0.9774486002064213,0.10755064564378161,-0.15221852324983326,1.0,0.1939141373581233,0.22584325529205052
has_ata_registro_precos,0.3045830609009207,0.29713826756762973,0.5044002194696174,0.44609376206154744,0.08759692007647721,0.2614177335863351,0.48228917518844755,0.04001291295847636,0.1278275144552859,0.23864695820203813,0.21704209322306198,0.37607927614764464,-0.3438591073833833,0.1939141373581233,1.0,0.9279663519660534
registro_precos_bool,0.30290660105968614,0.30456455931432774,0.5479032820184353,0.47704084156735466,0.10785055442979694,0.2682140426989884,0.51080263827046,0.05918896038872442,0.13243933204098082,0.2711255849667072,0.25054216407384866,0.3836855081607303,-0.3578244807083637,0.22584325529205052,0.9279663519660534,1.0
