variavel,correlacao_pearson,correlacao_absoluta,p_valor,amostra_utilizada
valor_estimado,0.9696304784016059,0.9696304784016059,0.0,186361
log1p_valor_estimado,0.7440863996627765,0.7440863996627765,0.0,186361
log1p_valor_estimado_por_participante,0.6437299881387742,0.6437299881387742,0.0,186361
valor_estimado_por_participante,0.5297654754931792,0.5297654754931792,0.0,186361
log1p_quantidade_item,0.5286662278166088,0.5286662278166088,0.0,186361
log1p_num_itens_proposta_licitacao,0.43053710891749497,0.43053710891749497,0.0,186361
log1p_valor_estimado_por_item_licitacao,0.40529643821869604,0.40529643821869604,0.0,186361
sqrt_quantidade_item,0.3880142512689579,0.3880142512689579,0.0,186361
log1p_num_participantes_licitacao,0.38386555049082227,0.38386555049082227,0.0,186361
sqrt_num_participantes_licitacao,0.3656500835046955,0.3656500835046955,0.0,186361
sqrt_num_itens_proposta_licitacao,0.3386100632034573,0.3386100632034573,0.0,186361
log1p_valor_unitario_item,-0.32632293212244456,0.32632293212244456,0.0,186361
num_participantes_licitacao,0.3244178808464894,0.3244178808464894,0.0,186361
has_ata_registro_precos,0.30458306090091514,0.30458306090091514,0.0,186361
registro_precos_bool,0.3029066010596844,0.3029066010596844,0.0,186361
