arquivo,data,descricao,numero,tipo
"70290a3c-e521-4452-8ad8-adf2a0aceb57",2024-11-12,"Inexigibilidade_n%C2%BA_004.FMAS.2024_-_Aquisicao_de_Vale_transporte_005_assinado (2).pdf"," ",EDITAL
"24e21cbe-84f4-41a4-a168-379da1621d99",2025-10-06,"TERMO DE REFERENCIA.pdf"," ","TERMO DE REFERENCIA"
"a8053edc-3bc4-4509-8880-3a0174ee86ee",2025-10-06,"ORÇAMENTO ESTIMADO.pdf"," ","ORÇAMENTO ESTIMADO"
"bdf8de9b-9839-4032-80f7-77142334ff93",2025-10-06,"FORMALIZAÇÃO DE DEMANDA.pdf"," ","DOCUMENTO DE FORMAIZAÇÃO DE DEMANDA"
"20eb427a-491f-49d9-aff1-b47361955066",2025-10-06,"ESTUDO TECNICO PRELIMINAR.pdf"," ","ESTUDO TECNICO PRELININAR"
"c5c2f3ae-1c6b-4ff2-8fb3-55470b229117",2025-10-06,HOMOLOGAÇÃO.pdf," ",HOMOLOGAÇÃO
"35dd8266-1fe2-4f72-a288-88a0f2d0a1d2",2025-10-06,"JUSTIFICATIVA DE INEXIGIBILIDADE.pdf"," ","JUSTIFICATIVA DE INEXIGIBILIDADE"
"76ff35bc-b910-4d01-9585-7a52bd949c9a",2025-10-06,"COMPROVAÇÃO DE HABILITAÇÃO.pdf"," ","COMPROVAÇÃO DE HABILITAÇÃO"
"1301408b-ba23-463e-9c0d-c47cb7a2c6c8",2025-10-06,"RAZÃO DE ESCOLHA DO CONTRATADO.pdf"," ","RAZAO DE ESCOLHA DO CONTRATADO"
"1124fa88-ff48-429f-bf12-96201bda8148",2025-01-22,"4.fmas pub assinado.pdf"," ","COMPROVANTE DE PUBLICAÇÃO"
