arquivo,data,descricao,numero,tipo
"0646a91b-9ff6-415f-9cbe-839f427d669a",2024-05-10,"TermodeHomologaoeAdjudicaounificado (17).pdf"," ",HOMOLOGAÇÃO
"b94762ea-7b36-44fa-a1c6-2044c2edadd9",2025-10-03,EDITAL.pdf," ",EDITAL
"324d4203-3c9a-4515-bd73-98d8018b2112",2024-08-28,"4 - TERMO DE REFERÊNCIA - MEMORIAL DESCRITIVO (1).pdf"," ","TERMO DE REFERENCIA"
"c31e22c9-1fad-4b45-8b92-1404597e37aa",2025-10-03,ORÇAMENTO.pdf," ","ORÇAMENTO ESTIMADO"
"8b6b3a6c-8735-4e9d-a0f8-09aabd7f6dbe",2025-10-03,PUBLICAÇÃO.pdf," ","COMPROVANTE DE PUBLICAÇÃO"
"d8b07b90-bdcf-4c14-b70b-ea57b0434fb6",2025-10-02,"AtaSessaoDisputa_Parte1-1_2f620240509092847619.pdf"," ",ATAS
"22242375-c92e-4387-b388-891fd04d315b",2025-10-02,"VencedoresProcessoAdjudicacao_2f620240510150715061.pdf"," ",ATAS
"80a31eed-cf3d-4352-814a-158b994a5a52",2025-10-02,"IMPUGNAÇÃO ULTRAGAZ.pdf"," ",RECURSO
"55b34956-c174-4347-b887-79531fae122e",2025-10-02,"RESPOSTA IMPUGNAÇÃO ULTRAGAZ.pdf"," ",RECURSO
"b40de535-c90a-494d-84ea-a6693506d65e",2025-10-03,"PARECER JURIDICO - PRE 042.PMC.2024 - RP de gás.pdf"," ","PARECER JURIDICO"
