acao,ano,descricaoElemento,fonteRecurso,funcao,id,numeroElemento,orgao,portaria,programa,subfuncao,unidade
1013,2024,"APLICAÇÕES DIRETAS","Convênio de Trânsito - Prefeitura",15,18,44900000,"PREFEITURA MUNICIPAL DE CRICIÚMA"," ",1001,451,
1018,2024,"APLICAÇÕES DIRETAS","Recursos Ordinários",14,52,44900000,"PROCURADORIA GERAL DO MUNICIPIO"," ",1003,422,
1025,2024,"APLICAÇÕES DIRETAS","Recursos Ordinários",4,71,44900000,"SEC. MUN. DA FAZENDA"," ",1004,122,
1034,2024,"APLICAÇÕES DIRETAS","Receitas de Impostos e de Transferência de Impostos - Educação",12,156,44900000,"SEC. MUN. DE EDUCAÇÃO"," ",1005,361,
1073,2024,"APLICAÇÕES DIRETAS","Recursos Ordinários",15,181,44900000,"SEC. M. DE INFRAEST.,PLANEJ. E MOBILIDADE URBANA"," ",1017,452,
1221,2024,"APLICAÇÕES DIRETAS","Outras Especificações / Outros Recursos Vinculados",18,221,44900000,"SEC. M. DE INFRAEST.,PLANEJ. E MOBILIDADE URBANA"," ",1020,122,
1045,2024,"APLICAÇÕES DIRETAS","Receitas de Impostos e de Transferência de Impostos - Saúde",10,8,44900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1093,2024,"APLICAÇÕES DIRETAS","Recursos Ordinários",27,4,44900000,EXTERNOS," ",1019,122,
1067,2024,"APLICAÇÕES DIRETAS","Recursos Ordinários",8,7,33900000,UNESC," ",1014,244,
1088,2024,"APLICAÇÕES DIRETAS","Recursos Ordinários",13,6,44900000,FCC," ",1018,122,
