ano,data,dataVencimento,itens,numero,ocorrencias
2024,2024-07-29,2025-07-29,"itens_54eb6afa-1519-456f-a569-124df08c0efb.csv",210,"ocorrencias_168bb441-f044-4b8f-8614-c10c33928fa3.csv"
2024,2024-07-29,2025-07-29,"itens_7819f183-22ad-46dd-a5d8-f644abe4fc4b.csv",209,"ocorrencias_3f19ff76-c013-4453-9f88-dbceabd26d3f.csv"
2024,2024-07-29,2025-07-29,"itens_16842b40-fdef-44ae-8aa7-eb8a1da367ab.csv",208,"ocorrencias_992ea426-9d15-49ae-877e-c3637195dc5a.csv"
2024,2024-07-29,2025-07-29,"itens_b828f3b1-fec3-47a4-aeb4-dfc116c25cc8.csv",207,"ocorrencias_c657c819-3a5f-4eb0-8246-db02b495b751.csv"
2024,2024-07-29,2025-07-29,"itens_577f7ce9-c1a2-436b-ae76-45710edf96f5.csv",206,"ocorrencias_23129699-0aa3-4e10-8661-6485cca07ebb.csv"
2024,2024-07-29,2025-07-29,"itens_4ef9b40c-ca0a-47e6-b229-401815efd608.csv",205,"ocorrencias_5e8d19ee-722a-41ec-ac58-ed10269b9155.csv"
2024,2024-07-29,2025-07-29,"itens_a739e3a5-1578-4a50-b1b7-e521ad7b6c41.csv",204,"ocorrencias_a489ad12-c801-4f01-83e4-881227af1951.csv"
2024,2024-07-29,2025-07-29,"itens_a4ccb33a-96c5-41a8-8e8f-0c648595beab.csv",203,"ocorrencias_6b3c3e07-d849-4c6e-9263-4452817bfb4a.csv"
2024,2024-07-29,2025-07-29,"itens_13025108-c420-40dd-ad42-73205e7fdc80.csv",202,"ocorrencias_a47cedd3-a07b-44d9-ac35-09424cdb7076.csv"
2024,2024-07-29,2025-07-29,"itens_f3d964bb-97f4-4b68-a6dc-ce2d6032aa81.csv",201,"ocorrencias_322112b2-391d-4bb6-915e-1845af386fdf.csv"
