arquivo,data,descricao,numero,tipo
"14a3e54b-c383-4e8e-8b53-664c497564b9",2024-09-16,"Inexigibilidade  nº XXX.FMS.2024 -Locação imóvel CAPS III.pdf"," ",EDITAL
"5b032d41-cdcc-4410-9a04-b2fd84346d70",2025-01-29,"TERMO DE REFERENCIA.pdf"," ","TERMO DE REFERENCIA"
"0df0cf51-ff07-4cd6-b49a-fa00df07dc03",2025-10-06,"ORÇAMENTO ESTIMADO.pdf"," ","ORÇAMENTO ESTIMADO"
"a74f5ebd-da10-4746-b155-651ec186e5d6",2025-10-06,"JUSTIFICATIVA DO PREÇO.pdf"," ","JUSTIFICATIVA DO PREÇO"
"83916081-2112-4471-9588-17bce8ae10c8",2025-10-06,"JUSTIFICATIVA DE INEXIGIBILIDADE.pdf"," ","JUSTIFICATIVA DE INEXIGIBILIDADE"
"6094233f-0df8-47bf-8251-1cadd7416225",2025-10-06,"COMPROVAÇÃO DE HABILITAÇÃO.pdf"," ","COMPROVAÇÃO DE HABILITAÇÃO"
"825706a6-b3d0-435b-9261-4ea4a8d99c8c",2025-10-06,"FORMALIZAÇÃO DE DEMANDA.pdf"," ","DOCUMENTO DE FORMAIZAÇÃO DE DEMANDA"
"86089494-ea01-444e-b1f2-6ca97d7198ef",2025-10-06,HOMOLOGAÇÃO.pdf," ",HOMOLOGAÇÃO
"fc5f51d2-c035-4792-bffb-433a04c41ba0",2025-10-06,"RAZÃO DE ESCOLHA DO CONTRATADO.pdf"," ","RAZAO DE ESCOLHA DO CONTRATADO"
"ff9e4155-41a9-4e6f-bedb-4a96b19905ed",2025-10-06,"ESTUDO TECNICO PRELIMINAR.pdf"," ","ESTUDO TECNICO PRELININAR"
"1a52fc21-0013-4611-be87-3d3a32b3f8f8",2025-10-03,"PARECER JURIDICO - Inexigibilidade  nº 030.FMS.2024 -Locação imóvel CAPS III.pdf"," ","PARECER JURIDICO"
