ano,data,dataVencimento,itens,numero,ocorrencias
2024,2024-06-25,2025-06-25,"itens_dee57b6b-7cb9-4d2a-94c5-9494704b2081.csv",138,"ocorrencias_38cf4e52-ba62-4924-b512-5362ed5302ad.csv"
2024,2024-06-25,2025-06-25,"itens_850aaaf9-06db-4255-90c5-a72d12564055.csv",137,"ocorrencias_37bcd8d9-ca56-466b-9a33-8d84459b81a4.csv"
2024,2024-06-25,2025-06-25,"itens_2016fb3d-caad-43e4-ad37-54e1a4ba2620.csv",136,"ocorrencias_d798476d-fc11-41ea-b1c5-32b082d3a9fa.csv"
2024,2024-06-25,2025-06-25,"itens_2672505d-8103-46ab-918c-cc674fe21069.csv",135,"ocorrencias_eb0c8fcf-7b4c-425d-b210-8f809422e1f9.csv"
2024,2024-06-25,2025-06-25,"itens_9f261f9a-c7ed-4deb-bba0-257ebe21c389.csv",134,"ocorrencias_a4cc71b4-25a0-4d06-adc9-ec34fd41dacf.csv"
2024,2024-06-25,2025-06-25,"itens_0359d355-113b-42d6-98c1-98a9b7573695.csv",133,"ocorrencias_3d823a80-7069-4d06-984c-60335abf6731.csv"
2024,2024-06-25,2025-06-25,"itens_3ddacdd7-4e76-4a00-a126-0f5a0c467bae.csv",132,"ocorrencias_a0ed7249-6f49-4c74-b891-22e34c6358a2.csv"
2024,2024-06-25,2025-06-25,"itens_46b1a201-e637-48c3-b960-a99435fe07ff.csv",131,"ocorrencias_b8bcae30-a773-41d1-8e10-ee4e1b38c468.csv"
2024,2024-06-25,2025-06-25,"itens_8e2726e5-182c-4942-b988-f079f9ec0bf2.csv",130,"ocorrencias_57c5d7e5-887f-400f-ad26-bbdbe71527d3.csv"
2024,2024-06-25,2025-06-25,"itens_ef89e0af-91c1-4522-a0d2-4a2a50302d99.csv",129,"ocorrencias_f4b8b08e-e9f2-4b14-b4e8-546f29404fac.csv"
