arquivo,data,descricao,numero,tipo
"01d5aea8-443b-46ff-ad1f-8bccb22d7c92",2024-06-28,"CPE 070.PMC.2024  - construção do centro comunitário bairro São Marcos.pdf"," ",EDITAL
"9e0c6be3-83e9-42d0-8f0e-35ea091cbaf7",2025-10-03,Projeto.pdf," ",ANEXOS
"2fbb0fb0-edc6-4afc-a048-88d7ac2a2a7b",2025-10-03,ETP.pdf," ",ANEXOS
"dba7f64b-897c-40c7-9563-bf75dc32bccb",2025-10-03,Orcamento.pdf," ",ANEXOS
"12846f7e-9aef-48f7-8589-06159b2b1281",2025-10-03,"Ata Sessao Disputa.pdf"," ",ATAS
"9512bc3e-8ea6-4c30-8705-e4e2b90e7c1b",2025-10-03,"Ata Sessao Adjudicacao.pdf"," ",ATAS
"f895d891-2345-4699-b83f-9aca3409774b",2025-10-03,"Ata Homologacao.pdf"," ",HOMOLOGAÇÃO
"9c5320a3-79e2-4572-853a-ff6a0219981f",2025-10-03,"PARECER JURIDICO - CPE 070.PMC.2024  - construção do centro comunitário bairro São Marcos.pdf"," ","PARECER JURIDICO"
