ano,data,dataVencimento,itens,numero,ocorrencias
2022,2022-06-14,2023-06-14,"itens_41a9676b-f597-45db-8d9f-bb2498f20398.csv",62," "
2022,2022-06-14,2023-06-14,"itens_1a951776-b7bd-48ba-8c39-8793a5d3f78d.csv",63," "
2022,2022-06-14,2023-06-14,"itens_45c30cbf-d54a-4192-bdaf-ad995932841a.csv",64," "
2022,2022-06-14,2023-06-14,"itens_96711968-aae6-430a-b307-4c7ba32a2b93.csv",65," "
2022,2022-06-14,2023-06-14,"itens_a5fe4211-3bdf-402d-bee6-7ba3b28078ea.csv",66," "
2022,2022-06-14,2023-06-14,"itens_5d4fe75a-c1c9-44b7-b411-2303184957b5.csv",67," "
2022,2022-06-14,2023-06-14,"itens_70ea1b93-bc23-49ad-afe0-0a9714301bf0.csv",68," "
2022,2022-06-14,2023-06-14,"itens_d0d44ab3-ebb1-490c-bd48-da800cbb93bb.csv",69," "
2022,2022-06-14,2023-06-14,"itens_226b63d5-39af-4649-a712-3148798d6b36.csv",70," "
2022,2022-06-14,2023-06-14,"itens_e0da3ef8-55ea-4b72-885a-489b83467175.csv",71," "
