descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Vermifugo (ectoparasiticida) para gatos; composição:  230 mg pamoato de pirantel + 20 mg praziquantel; uso veterinário",3710122,18,660,ATIVO,COMPRIMIDO,1386,2.1
"Suplemento para grandes e pequenos animais; composição: 1000 mg cloridrato de tiamina (vitamina B1) + 500 m cloridrato de piridoxina (vitamina B6) + 2000 mg nicotinamida + 400 mg pantotenato de cálcio (vitamina B5) + 20 g frutose + 2 g cloridrato de L-arginina + 2 g acetil metionina + 1000 mg aspartato de potássio + 1000 mg aspartato de magnésio + 45 mg salenito de sódio + 1500 mcg/ml vitamina B12 (ampola); uso veterinário",3710123,23,10,ATIVO,"FRASCO+AMPOLA",930,93
"Vacina antirrábica para cães e gatos; composição: vírus rábico inativado 1,0 UI + veículo 1 ml; injetável (intramuscular e subcutânea); uso veterinário",3710124,27,660,ATIVO,SERINGA,6072,9.2
"Vacina múltipla para cães  (V10); injetável (via intramuscular e subcutânea); composição: fração liofilizada correspondente a 1 dose de 1 ml com vírus vivos atenuados para cinomose, adenovírus tipo 2, vírus da parainfluenza canina, parvovírus e leptospiras (L. canicola, L. grippotyphosa, L. icterohaemorrhagiae e L. pomona) + diluente corresponde a uma preparação líquida de 1 dose de 1 ml da vacina coronavírus canino inativado com um adjuvante; uso veterinário",3710125,28,660,ATIVO,SERINGA,8184,12.4
"Vacina múltipla para gatos (quádrupla); injetável (via intramuscular e subcutânea); composição: amostras atenuadas do vírus da rinotraqueíte felina, calicivírus felino e vírus da panleucopenia felina e Chlamydia psitacci + gentamicina na forma liofilizada acompanhada de diluente estéril; uso veterinário",3710126,29,660,ATIVO,SERINGA,23067,34.95
"Endoparasiticida metronidazol + sulfadimetoxina; uso oral; composição: 8 g metronidazol + 5 g sulfadimetoxina; uso veterinário",3710127,30,20,ATIVO,FRASCO,1400,70
"Suplemento para cães e gatos; solução oral; composição: pantotenato de cálcio + cisteína + vitamina B1 + cloreto/cloruro de colina + triptofano + vitamina B12 + di-metionina + l-carnitina + l-lisina + betaína + vitamina B6 + colágeno hidrolisado + açúcar + aroma de maçã + metilparabeno + aspartame + benzoato de sódio + água; uso veterinário.",3710128,44,25,ATIVO,FRASCO,825,33
"Ração para Caes adultos",3710129,49,3000,ATIVO,kg,18450,6.15
