ano_dados,arquivo,caminho,tipo_arquivo,encoding_detectado,qtd_colunas,colunas_json,tipos_inferidos_json,header_hash,linhas_amostra
2021,atasRegistroPrecos_1011fdd3-0273-47f6-a90e-a92038e57e2e.csv,data\2021\atasRegistroPrecos_1011fdd3-0273-47f6-a90e-a92038e57e2e.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_109a2d34-1d04-43dc-8c7a-87d79cf4fb8d.csv,data\2021\atasRegistroPrecos_109a2d34-1d04-43dc-8c7a-87d79cf4fb8d.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_10e1cab2-1d6c-4383-a4be-e07e71167813.csv,data\2021\atasRegistroPrecos_10e1cab2-1d6c-4383-a4be-e07e71167813.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,3
2021,atasRegistroPrecos_10faba1c-5ce9-45f2-84af-78fd94f6edf9.csv,data\2021\atasRegistroPrecos_10faba1c-5ce9-45f2-84af-78fd94f6edf9.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_123263ff-8147-4a8b-b086-4685b07fc48b.csv,data\2021\atasRegistroPrecos_123263ff-8147-4a8b-b086-4685b07fc48b.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,3
2021,atasRegistroPrecos_1272ce48-ed7e-47f3-8ec8-6a93348d9a0d.csv,data\2021\atasRegistroPrecos_1272ce48-ed7e-47f3-8ec8-6a93348d9a0d.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,2
2021,atasRegistroPrecos_1372f73a-508f-47b9-b97b-88ce53911b07.csv,data\2021\atasRegistroPrecos_1372f73a-508f-47b9-b97b-88ce53911b07.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""text""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,8
2021,atasRegistroPrecos_163a53be-1456-48eb-aeb5-4dede4bc922f.csv,data\2021\atasRegistroPrecos_163a53be-1456-48eb-aeb5-4dede4bc922f.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""empty"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_174e93d3-caae-4a98-8b69-369f4ec7ffb2.csv,data\2021\atasRegistroPrecos_174e93d3-caae-4a98-8b69-369f4ec7ffb2.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_18459ebf-e7b1-48ba-8f5a-48a47d6aeefe.csv,data\2021\atasRegistroPrecos_18459ebf-e7b1-48ba-8f5a-48a47d6aeefe.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_1970c86d-712c-4896-bbe1-4839b5c328b1.csv,data\2021\atasRegistroPrecos_1970c86d-712c-4896-bbe1-4839b5c328b1.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,9
2021,atasRegistroPrecos_1acc3c80-792c-4e37-a820-71d429185770.csv,data\2021\atasRegistroPrecos_1acc3c80-792c-4e37-a820-71d429185770.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""text""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
