acao,ano,descricaoElemento,fonteRecurso,funcao,id,numeroElemento,orgao,portaria,programa,subfuncao,unidade
1013,2018,"Aplicacoes Diretas","Outras Especificações",4,1002986,4465067,"GABINETE DO PREFEITO"," ",1001,122,
1011,2018,"Aplicacoes Diretas","Recursos Ordinários",4,1003202,4465067,"GABINETE DO PREFEITO"," ",1001,122,
1032,2018,"Aplicacoes Diretas","Receitas de Impostos e de Transf. de Impostos-Educação",12,1003954,4465067,"SEC. MUN. DE EDUCAÇÃO"," ",1005,361,
1032,2018,"Aplicacoes Diretas","Transferências do FUNDEB - 40%",12,1003962,4465067,"SEC. MUN. DE EDUCAÇÃO"," ",1005,361,
1013,2018,"Aplicacoes Diretas","Convênio de Trânsito - Prefeitura",4,1005098,4465067,"GABINETE DO PREFEITO"," ",1001,122,
1032,2018,"Aplicacoes Diretas","Salário Educação",12,1005114,4465067,"SEC. MUN. DE EDUCAÇÃO"," ",1005,361,
1067,2018,"Aplicacoes Diretas","Transf. do Sist. Unico de Assist. Social-SUAS/União",8,1005750,4465067,"SEC. MUN. DE PLANEJ. E DESENVOLV. ECONOMICO"," ",1014,243,
1067,2018,"Aplicacoes Diretas","Recursos Ordinários",8,1005766,4465067,"SEC. MUN. DE PLANEJ. E DESENVOLV. ECONOMICO"," ",1014,243,
1068,2018,"Aplicacoes Diretas","Transf. do Sist. Unico de Assist. Social-SUAS/União",8,1005860,4465067,"SEC. MUN. DE PLANEJ. E DESENVOLV. ECONOMICO"," ",1014,243,
1068,2018,"Aplicacoes Diretas","Recursos Ordinários",8,1005874,4465067,"SEC. MUN. DE PLANEJ. E DESENVOLV. ECONOMICO"," ",1014,243,
1088,2018,"Aplicacoes Diretas","Recursos Ordinários",13,1005979,4465067,"FUNDAÇÃO MUN. DE CULTURA"," ",1018,122,
1093,2018,"Aplicacoes Diretas","Recursos Ordinários",27,1006154,4465067,"FUNDAÇÃO MUN. DE ESPORTES"," ",1019,122,
1095,2018,"Aplicacoes Diretas","Outras Especificações",18,1006374,4465067,"FUNDAÇÃO MUN. DO MEIO AMBIENTE"," ",1020,122,
1045,2018,"Aplicacoes Diretas","Transf. do SUS/União",10,1006499,4465067,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1045,2018,"Aplicacoes Diretas","Transf. do SUS/Estado",10,1006507,4465067,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
