acao,ano,descricaoElemento,fonteRecurso,funcao,id,numeroElemento,orgao,portaria,programa,subfuncao,unidade
1001,2017,"Aplicacoes Diretas","Recursos Ordinários",4,1002865,4697776,"GABINETE DO PREFEITO"," ",1001,122,
1002,2017,"Aplicacoes Diretas","Recursos Ordinários",4,1002881,4465067,"GABINETE DO PREFEITO"," ",1056,122,
1003,2017,"Aplicacoes Diretas","Outras Especificações",8,1002905,4465067,"GABINETE DO PREFEITO"," ",1018,241,
1003,2017,,"Outras Especificações",8,1002921,0,"GABINETE DO PREFEITO"," ",1018,241,
1003,2017,"Aplicacoes Diretas","Recursos Ordinários",8,1002937,4697776,"GABINETE DO PREFEITO"," ",1018,241,
1007,2017,"Aplicacoes Diretas","Recursos Ordinários",4,1003033,4697776,"GABINETE DO PREFEITO"," ",1018,122,
1008,2017,"Aplicacoes Diretas","Transf. de Convênios União Não rel. educ/saude/assit. social",6,1003049,4465067,"GABINETE DO PREFEITO"," ",1018,182,
1012,2017,"Aplicacoes Diretas","Recursos Ordinários",4,1003177,4465067,"GABINETE DO PREFEITO"," ",1018,122,
1018,2017,,"Recursos Ordinários",4,1003313,0,"GABINETE DO PREFEITO"," ",1021,122,
1018,2017,"Aplicacoes Diretas","Recursos Ordinários",4,1003337,4697776,"GABINETE DO PREFEITO"," ",1021,122,
3001,2017,,"Recursos Ordinários",4,1003369,0,"PROCURADORIA GERAL DO MUNICIPIO"," ",1019,122,
4004,2017,,"Recursos Ordinários",4,1003585,0,"SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO"," ",1001,122,
4004,2017,"Aplicacoes Diretas","Recursos Ordinários",4,1003617,4465067,"SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO"," ",1001,122,
4004,2017,,"Recursos Ordinários",8,1003649,0,"SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO"," ",1001,243,
5003,2017,,"Recursos Ordinários",4,1003793,0,"SEC. MUN. DA FAZENDA"," ",1002,129,
5006,2017,"Aplicacoes Diretas","Transf. de Convênios Estado Não rel. educ/saude/assit. social",6,1003929,4465067,"SEC. MUN. DA FAZENDA"," ",1005,181,
1019,2017,"Aplicacoes Diretas","Convênio de Trânsito - Prefeitura",4,1005539,4465067,"GABINETE DO PREFEITO"," ",1021,122,
1019,2017,"Aplicacoes Diretas","Outras Especificações",4,1005543,4465067,"GABINETE DO PREFEITO"," ",1021,122,
