descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"84482108	RETENTOR",0,8,DESCLASSIFICADO," ",303.2,37.9
"5133799	RETENTOR",0,8,DESCLASSIFICADO," ",453.2,56.65
"5177709	RETENTOR",0,8,DESCLASSIFICADO," ",303.2,37.9
"84203537	CABO ACELERADOR",0,2,DESCLASSIFICADO," ",344.4,172.2
"5167202	ALAVANCA",0,2,DESCLASSIFICADO," ",213.3,106.65
"82018664	CILINDRO MESTRE",0,2,DESCLASSIFICADO," ",1090.2,545.1
"5184313	DISCO FREIO",0,4,DESCLASSIFICADO," ",1184.8,296.2
"5191350	PISTAO FREIO",0,4,DESCLASSIFICADO," ",2496.4,624.1
"5118101	DISCO FREIO",0,4,DESCLASSIFICADO," ",482.8,120.7
"5130785	PLACA SEPARADORA",0,4,DESCLASSIFICADO," ",386,96.5
"5183158	CABO FREIO ESTACIONÁRIO",0,2,DESCLASSIFICADO," ",445.4,222.7
"5189875	KIT EMBREAGEM",0,1,DESCLASSIFICADO," ",3281,3281
"5167167	SUPORTE DO ROLAMENTO",0,2,DESCLASSIFICADO," ",1475,737.5
"87345759	ROLAMENTO EMBREAGEM",0,2,DESCLASSIFICADO," ",379.2,189.6
"5167184	GUIA",0,2,DESCLASSIFICADO," ",1263.6,631.8
"87373914	CABO EMBREAGEM",0,2,DESCLASSIFICADO," ",657.4,328.7
"5153715	COROA E PINHÃO",0,1,DESCLASSIFICADO," ",3341,3341
"5130990	ROLAMENTO DO PINHÃO",0,2,DESCLASSIFICADO," ",396.8,198.4
"24903460	ROLAMENTO DIFERENCIAL",0,4,DESCLASSIFICADO," ",1200.8,300.2
"24903480	ROLAMENTO DIFERENCIAL",0,4,DESCLASSIFICADO," ",1328.4,332.1
"5166549	EIXO DIANTEIRO L.D.",0,1,DESCLASSIFICADO," ",2802.8,2802.8
"5166562	EIXO DIANTEIRO L.E.",0,1,DESCLASSIFICADO," ",2837.7,2837.7
"5189825	DISCO EMBREAGEM",0,1,DESCLASSIFICADO," ",1976,1976
"5188093	SINCRONIZADOR",0,2,DESCLASSIFICADO," ",6462,3231
"5131167	EIXO ENTALHADO",0,1,DESCLASSIFICADO," ",2656,2656
"5126458	ROLAMENTO",0,4,DESCLASSIFICADO," ",1059.2,264.8
"5117539	ROLAMENTO AGULHAS",0,4,DESCLASSIFICADO," ",393.6,98.4
"5105534	RETENTOR",0,6,DESCLASSIFICADO," ",364.2,60.7
"5105536	RETENTOR",0,6,DESCLASSIFICADO," ",336.6,56.1
"5167151	EIXO",0,2,DESCLASSIFICADO," ",4390,2195
"26794660	ROLAMENTO ESFÉRICO",0,4,DESCLASSIFICADO," ",600.4,150.1
"24905130	ROLAMENTO ESFÉRICO",0,4,DESCLASSIFICADO," ",550.8,137.7
"5167937	DISCO TDF",0,2,DESCLASSIFICADO," ",2226,1113
"87520950	PEDAL",0,1,DESCLASSIFICADO," ",1360.8,1360.8
"87536431	VARÃO",0,2,DESCLASSIFICADO," ",300.2,150.1
"5186629	SINCRONIZADOR",0,1,DESCLASSIFICADO," ",2216.1,2216.1
