descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"87536431	VARÃO",0,2,DESCLASSIFICADO," ",312,156
"5186629	SINCRONIZADOR",0,1,DESCLASSIFICADO," ",2189,2189
"5161817	EIXO",0,1,DESCLASSIFICADO," ",1944,1944
"5138660	ROLAMENTO ACIONADOR",0,2,DESCLASSIFICADO," ",508,254
"5125062	SEMI EIXO L.D.",0,1,DESCLASSIFICADO," ",1550,1550
"5125063	SEMI EIXO L.E.",0,1,DESCLASSIFICADO," ",1550,1550
"5125349	EIXO ACIONADOR",0,1,DESCLASSIFICADO," ",2067,2067
"5123466	LUVA ESTRIADA",0,2,DESCLASSIFICADO," ",624,312
"5123982	ENGRENAGEM MOTORA",0,2,DESCLASSIFICADO," ",2526,1263
"5160495	ENGRENAGEM INTERMEDIÁRIA",0,2,DESCLASSIFICADO," ",4724,2362
"5174202	GARFO",0,2,DESCLASSIFICADO," ",4182,2091
"5127387	GARFO",0,2,DESCLASSIFICADO," ",3970,1985
"73401126	KIT DIFERENCIAL",0,1,DESCLASSIFICADO," ",2944,2944
"5125065	ENGRENAGEM",0,6,DESCLASSIFICADO," ",1374,229
"5125064	COROA DENTADA",0,2,DESCLASSIFICADO," ",2476,1238
"4997203	PINO",0,6,DESCLASSIFICADO," ",642,107
"5173735	PONTA EIXO",0,2,DESCLASSIFICADO," ",5428,2714
"20645490	ROLAMENTO",0,4,DESCLASSIFICADO," ",916,229
"20141040	ROLAMENTO",0,4,DESCLASSIFICADO," ",1216,304
"5123205	RETENTOR",0,2,DESCLASSIFICADO," ",420,210
"MAO DE OBRA MECANICA",0,200,DESCLASSIFICADO," ",22000,110
"7021502	BÓIA",0,1,VENCEU," ",537.09,537.09
"7202084	JUNTA LATERAL",0,8,VENCEU," ",264.72,33.09
"7003606	JG. REP. CILINDRO HIDRÁULICO",0,4,VENCEU," ",544.12,136.03
"7039127	PINO CENTRAL",0,2,VENCEU," ",558.8,279.4
"7010753	PARAFUSO SEXTAVADO",0,16,VENCEU," ",211.52,13.22
"7022241	BLOCO VÁLVULA VIBRADORA",0,2,VENCEU," ",4764.56,2382.28
"70003421	VÁLVULA DE BLOQUEIO",0,2,VENCEU," ",3808.72,1904.36
"2551147	BOMBA DE ENGRENAGENS",0,1,VENCEU," ",3654.31,3654.31
"2551217	HÉLICE DO MOTOR",0,1,VENCEU," ",1389.67,1389.67
"2590707	TAMPA RADIADOR",0,2,VENCEU," ",95.58,47.79
"2590704	VISOR NÍVEL RADIADOR",0,1,VENCEU," ",426.46,426.46
