descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"8605073	VÁLVULA",0,1,PERDEU," ",1443.99,1443.99
"8603386	ANEL ORING",0,10,PERDEU," ",119.3,11.93
"8603391	RETENTOR",0,10,PERDEU," ",1330.2,133.02
"8603328	DISCO",0,2,PERDEU," ",704.56,352.28
"148941A1	ROLAMENTO",0,4,PERDEU," ",1111.88,277.97
"75287967	PARAFUSO",0,24,PERDEU," ",22.08,0.92
"75312745	BOMBA DE ÓLEO",0,1,PERDEU," ",420.17,420.17
"J283570	JUNTA CABEÇOTE",0,1,PERDEU," ",274.3,274.3
"J917039	VOLANTE MOTOR",0,1,PERDEU," ",670.62,670.62
"75287973	COLETOR ESCAPE",0,1,PERDEU," ",703.65,703.65
"347611A3	RADIADOR DÁGUA",0,1,PERDEU," ",2783.4,2783.4
"8604678	ROLAMENTO",0,8,PERDEU," ",388.96,48.62
"75311477	DISCO SINTERIZADO",0,56,PERDEU," ",1900.64,33.94
"75311476	DISCO DE AÇO",0,44,PERDEU," ",1009.36,22.94
"75311475	PLACA DE ENCOSTO",0,6,PERDEU," ",583.44,97.24
"8603655	EIXO TOMADA DE FORÇA",0,1,PERDEU," ",911.9,911.9
"8603390	ROLAMENTO",0,6,PERDEU," ",798.12,133.02
"627-10030	PARAFUSO",0,24,PERDEU," ",43.92,1.83
"874450960	EIXO CARDÃ",0,1,PERDEU," ",1156.85,1156.85
"87457084	ENGRENAGEM",0,2,PERDEU," ",1196.3,598.15
"87457081	RETENTOR",0,4,PERDEU," ",957.76,239.44
"148945A1	CUBO DE RODA",0,1,PERDEU," ",1459.59,1459.59
"141005A1	BUCHA",0,8,PERDEU," ",330.24,41.28
"1542874C1	JG REPARO",0,4,PERDEU," ",436.68,109.17
"349519A1	ANEL",0,8,PERDEU," ",726.56,90.82
"356201A1	PINO",0,2,PERDEU," ",471.54,235.77
"356191A1	CALÇO",0,24,PERDEU," ",484.32,20.18
"7102781	BUCHA",0,4,PERDEU," ",759.6,189.9
"827-12060	PARAFUSO",0,20,PERDEU," ",385.4,19.27
"86983366	TUBO",0,2,PERDEU," ",376.14,188.07
"86993022	PINO",0,2,PERDEU," ",622,311
"86993024	PINO",0,2,PERDEU," ",983.46,491.73
"86993027	PINO",0,2,PERDEU," ",607.32,303.66
"87613430	BUCHA",0,4,PERDEU," ",594.48,148.62
"379091A2	BUCHA",0,4,PERDEU," ",374.32,93.58
"8604542	SOLENÓIDE",0,1,PERDEU," ",465.12,465.12
"1546497C1	INTERRUPTOR",0,1,PERDEU," ",625.67,625.67
"360982A1	JG REPARO",0,8,PERDEU," ",535.76,66.97
"87434293	JG REPARO",0,6,PERDEU," ",809.16,134.86
"381101A1	JG REPARO",0,6,PERDEU," ",440.34,73.39
"87405377	CILINDRO DIREÇÃO",0,1,PERDEU," ",1442.16,1442.16
"339520A1	HASTE CILINDRO CAÇAMBA",0,1,PERDEU," ",549.52,549.52
"339508A1	EMBOLO CILINDRO CAÇAMBA",0,2,PERDEU," ",365.12,182.56
"339525A1	TUBO CILINDRO CAÇAMBA",0,1,PERDEU," ",1099.97,1099.97
"394357A1	TUBO CILINDRO LEVANTE",0,1,PERDEU," ",949.51,949.51
"340921A1	HASTE CILINDRO LEVANTE",0,1,PERDEU," ",601.82,601.82
"341968A1	EMBOLO CILINDRO LEVANTE",0,2,PERDEU," ",275.22,137.61
"336378A1	TAMPA DO CILINDRO",0,2,PERDEU," ",233.02,116.51
"87460448	ARO",0,1,PERDEU," ",1949.48,1949.48
"87457102	BUCHA",0,4,PERDEU," ",1042.16,260.54
"MAO DE OBRA MECANICA",0,200,PERDEU," ",19266,96.33
"75287973	COLETOR ESCAPE",0,1,PERDEU," ",742.6,742.6
"347611A3	RADIADOR DÁGUA",0,1,PERDEU," ",2937.36,2937.36
"8604678	ROLAMENTO",0,8,PERDEU," ",407.6,50.95
"8604542	SOLENÓIDE",0,1,PERDEU," ",490.66,490.66
"1546497C1	INTERRUPTOR",0,1,PERDEU," ",659.56,659.56
"360982A1	JG REPARO",0,8,PERDEU," ",566.16,70.77
"87460814	DEFLETOR",0,1,PERDEU," ",904.89,904.89
"149587A1	EIXO CARDÃ",0,1,PERDEU," ",1209.67,1209.67
"L116943	ABRAÇADEIRA",0,10,PERDEU," ",37.7,3.77
"75311477	DISCO SINTERIZADO",0,56,PERDEU," ",2008.16,35.86
"75311476	DISCO DE AÇO",0,44,PERDEU," ",1079.32,24.53
"75311475	PLACA DE ENCOSTO",0,6,PERDEU," ",611.46,101.91
"8603320	TUBO",0,1,PERDEU," ",142.48,142.48
"8605281	TUBO",0,1,PERDEU," ",158.52,158.52
"339508A1	EMBOLO CILINDRO CAÇAMBA",0,2,PERDEU," ",384.98,192.49
"339525A1	TUBO CILINDRO CAÇAMBA",0,1,PERDEU," ",1160.6,1160.6
"340921A1	HASTE CILINDRO LEVANTE",0,1,PERDEU," ",635.03,635.03
"8603301	ROLAMENTO",0,4,PERDEU," ",430.28,107.57
"355829A2	ACOPLAMENTO",0,1,PERDEU," ",2972.27,2972.27
"D137626	PARAFUSO",0,10,PERDEU," ",56.6,5.66
"87426773	MOTOR DO VENTILADOR",0,1,PERDEU," ",2064.55,2064.55
"87326910	TENSOR DA CORREIA",0,1,PERDEU," ",568.98,568.98
"233094A1	CRUZETA",0,4,PERDEU," ",426.48,106.62
"198052C1	VIDRO",0,1,PERDEU," ",721.84,721.84
"87457065	CRUZETA",0,2,PERDEU," ",994.54,497.27
"148962A1	DISCO",0,12,PERDEU," ",2253.24,187.77
"336467A1	COIFA DE BORRACHA",0,4,PERDEU," ",128.32,32.08
"71102606	TUBO INJETOR",0,2,PERDEU," ",135.88,67.94
"75312937	TUBO INJETOR",0,2,PERDEU," ",135.88,67.94
"75312721	TUBO INJETOR",0,2,PERDEU," ",135.88,67.94
"75312939	TUBO INJETOR",0,2,PERDEU," ",135.88,67.94
"75312940	TUBO INJETOR",0,2,PERDEU," ",135.88,67.94
"75312941	TUBO INJETOR",0,2,PERDEU," ",135.88,67.94
"148963A1	DISCO",0,12,PERDEU," ",1234.2,102.85
"75243579	SENSOR FREIO",0,1,PERDEU," ",853,853
"70457000	COROA E PINHÃO",0,1,PERDEU," ",2898.67,2898.67
"75287942	JUNTA",0,4,PERDEU," ",143.44,35.86
"408195A1	TUBO",0,1,PERDEU," ",220.8,220.8
"75312745	BOMBA DE ÓLEO",0,1,PERDEU," ",443.48,443.48
"J283570	JUNTA CABEÇOTE",0,1,PERDEU," ",288.74,288.74
"J917039	VOLANTE MOTOR",0,1,PERDEU," ",706.74,706.74
"87457087	PLACA FREIO",0,2,PERDEU," ",652.96,326.48
"148964A1	ANEL ORING",0,12,PERDEU," ",79.32,6.61
"148965A1	ANEL ORING",0,12,PERDEU," ",90.6,7.55
"148960A1	ANEL ORING",0,12,PERDEU," ",33.96,2.83
"103846A1	RESERVATÓRIO DÁGUA",0,1,PERDEU," ",146.25,146.25
"8603298	EIXO",0,1,PERDEU," ",761.47,761.47
"8603184	JUNTA",0,4,PERDEU," ",128.32,32.08
"627-10030	PARAFUSO",0,24,PERDEU," ",45.36,1.89
"874450960	EIXO CARDÃ",0,1,PERDEU," ",1220.99,1220.99
"87457084	ENGRENAGEM",0,2,PERDEU," ",1262.5,631.25
"A184939	VÁLVULA",0,2,PERDEU," ",132.1,66.05
"L126191	VÁLVULA TERMOSTÁTICA",0,1,PERDEU," ",166.07,166.07
"349519A1	ANEL",0,8,PERDEU," ",770,96.25
"356201A1	PINO",0,2,PERDEU," ",498.2,249.1
"356191A1	CALÇO",0,24,PERDEU," ",520.8,21.7
"87453558	SOLENÓIDE",0,1,PERDEU," ",1091.72,1091.72
"76084380	RETENTOR",0,4,PERDEU," ",354.8,88.7
"87405609	CAIXA DE DIREÇÃO",0,1,PERDEU," ",5031.16,5031.16
"75312724	CHICOTE",0,2,PERDEU," ",369.88,184.94
"75312734	TURBINA",0,1,PERDEU," ",2607.11,2607.11
"75286637	PRISIONEIRO",0,24,PERDEU," ",203.76,8.49
"75243579	SENSOR",0,1,PERDEU," ",736.93,736.93
"87457220	SENSOR",0,1,PERDEU," ",669.94,669.94
"87457081	RETENTOR",0,4,PERDEU," ",1011.52,252.88
"141005A1	BUCHA",0,8,PERDEU," ",347.2,43.4
"1542874C1	JG REPARO",0,4,PERDEU," ",464.24,116.06
"8604535	SOLENÓIDE",0,1,PERDEU," ",1037.94,1037.94
"410565A1	COIFA DE BORRACHA",0,1,PERDEU," ",738.82,738.82
"87459613	CHICOTE ELÉTRICO",0,1,PERDEU," ",2403.29,2403.29
"75249994	FAROL",0,4,PERDEU," ",630.32,157.58
"367889A1	VIDRO",0,1,PERDEU," ",1102.1,1102.1
"198053A1	VIDRO",0,1,PERDEU," ",860.54,860.54
"71102615	CARCAÇA",0,1,PERDEU," ",353.84,353.84
"75208365	CREMALHEIRA",0,1,PERDEU," ",225.52,225.52
"87457085	PLACA FREIO",0,2,PERDEU," ",654.84,327.42
"J930906	JUNTA",0,8,PERDEU," ",158.56,19.82
"71100640	ANEL",0,16,PERDEU," ",75.52,4.72
"J935010	CORREIA",0,4,PERDEU," ",532.16,133.04
"8605073	VÁLVULA",0,1,PERDEU," ",1523.88,1523.88
"8603386	ANEL ORING",0,10,PERDEU," ",122.7,12.27
"87401084	PINO",0,2,PERDEU," ",534.06,267.03
"391276A1	ROLAMENTO",0,6,PERDEU," ",758.64,126.44
"379139A1	VÁLVULA",0,1,PERDEU," ",920.93,920.93
"75287967	PARAFUSO",0,24,PERDEU," ",22.56,0.94
"75266621	BOMBA DE FREIO",0,1,PERDEU," ",815.25,815.25
"356192A1	FLANGE",0,1,PERDEU," ",503.87,503.87
"364193A1	BATENTE",0,2,PERDEU," ",249.1,124.55
"87434293	JG REPARO",0,6,PERDEU," ",854.88,142.48
"381101A1	JG REPARO",0,6,PERDEU," ",464.22,77.37
"339520A1	HASTE CILINDRO CAÇAMBA",0,1,PERDEU," ",580.3,580.3
"233094A1	CRUZETA",0,4,PERDEU," ",184.96,46.24
"L116940	PARAFUSO",0,20,PERDEU," ",37.8,1.89
"148223A1	PARAFUSO",0,12,PERDEU," ",67.92,5.66
"J971876	POLIA",0,1,PERDEU," ",231.18,231.18
"361187A1	COXIM",0,8,PERDEU," ",520.88,65.11
"8604229	RETENTOR",0,4,PERDEU," ",271.76,67.94
"8603655	EIXO TOMADA DE FORÇA",0,1,PERDEU," ",962.45,962.45
"8603390	ROLAMENTO",0,6,PERDEU," ",843.54,140.59
"388283A1	SILENCIOSO",0,1,PERDEU," ",604.83,604.83
"J286278	BOMBA DÁGUA",0,2,PERDEU," ",577.48,288.74
"76082156	COXIM",0,4,PERDEU," ",619,154.75
"8603391	RETENTOR",0,10,PERDEU," ",1405.9,140.59
"8603328	DISCO",0,2,PERDEU," ",743.54,371.77
"148941A1	ROLAMENTO",0,4,PERDEU," ",1170.04,292.51
"7102781	BUCHA",0,4,PERDEU," ",800.16,200.04
"827-12060	PARAFUSO",0,20,PERDEU," ",415.2,20.76
"86993027	PINO",0,2,PERDEU," ",639.74,319.87
"87613430	BUCHA",0,4,PERDEU," ",630.32,157.58
"379091A2	BUCHA",0,4,PERDEU," ",396.32,99.08
"117846A1	COXIM MOTOR",0,8,PERDEU," ",264.24,33.03
"75208192	ANEL ORING",0,10,PERDEU," ",75.5,7.55
"75287946	JUNTA",0,4,PERDEU," ",105.68,26.42
"75312697	JUNTA",0,4,PERDEU," ",222.68,55.67
"405112A1	TAMPA TANQUE",0,2,PERDEU," ",166.06,83.03
"225619A1	JUNTA ESFÉRICA",0,6,PERDEU," ",130.2,21.7
"86983366	TUBO",0,2,PERDEU," ",396.3,198.15
"86993022	PINO",0,2,PERDEU," ",658.62,329.31
"86993024	PINO",0,2,PERDEU," ",1036.04,518.02
"341968A1	EMBOLO CILINDRO LEVANTE",0,2,PERDEU," ",290.62,145.31
"8603180	JUNTA",0,8,PERDEU," ",37.76,4.72
"8603181	JUNTA",0,8,PERDEU," ",60.4,7.55
"8603387	BOMBA TRANSMISSÃO",0,1,PERDEU," ",1920.18,1920.18
"336378A1	TAMPA DO CILINDRO",0,2,PERDEU," ",247.22,123.61
"87457102	BUCHA",0,4,PERDEU," ",1098.32,274.58
"MAO DE OBRA MECANICA",0,200,PERDEU," ",19816,99.08
"75312842 ROLAMENTO",0,2,DESCLASSIFICADO," ",206,103
"75325021 VÁLVULA DE ALÍVIO",0,1,DESCLASSIFICADO," ",1536,1536
"75208365 CREMALHEIRA",0,1,DESCLASSIFICADO," ",355,355
"75287720 ANEL",0,12,DESCLASSIFICADO," ",48,4
"75287711 ANEL",0,12,DESCLASSIFICADO," ",72,6
"75289383 EIXO",0,1,DESCLASSIFICADO," ",728,728
"75287702 RETENTOR",0,6,DESCLASSIFICADO," ",324,54
"75288479	ROLAMENTO",0,6,DESCLASSIFICADO," ",474,79
"75326525	RETENTOR",0,12,DESCLASSIFICADO," ",420,35
"75246450	BUCHA",0,3,DESCLASSIFICADO," ",405,135
"79102659	RETENTOR",0,6,DESCLASSIFICADO," ",234,39
"87625345	DISCO",0,10,DESCLASSIFICADO," ",1610,161
"87625346	PLACA",0,10,DESCLASSIFICADO," ",1290,129
"75208355	EIXO",0,1,DESCLASSIFICADO," ",373,373
"75288494	ANEL",0,12,DESCLASSIFICADO," ",60,5
"75288493	ANEL",0,12,DESCLASSIFICADO," ",84,7
"75289382	ENGRENAGEM",0,1,DESCLASSIFICADO," ",808,808
"75288480	ROLAMENTO",0,2,DESCLASSIFICADO," ",252,126
"75289443	VÁLVULA",0,1,DESCLASSIFICADO," ",362,362
"75288502	RETENTOR",0,3,DESCLASSIFICADO," ",216,72
"75289465	FLANGE",0,1,DESCLASSIFICADO," ",348,348
"75287719	ANEL",0,12,DESCLASSIFICADO," ",72,6
"87632371	CILINDRO DIREÇÃO",0,1,DESCLASSIFICADO," ",1148,1148
"87625354	PARAFUSO",0,90,DESCLASSIFICADO," ",720,8
"75250656	PORCA",0,90,DESCLASSIFICADO," ",540,6
"87633266	EIXO CARDÃ",0,1,DESCLASSIFICADO," ",867,867
"73163980	SUPORTE FERRO",0,1,DESCLASSIFICADO," ",272,272
"75208354	ROLAMENTO",0,6,DESCLASSIFICADO," ",762,127
"75286658	JUNTA CABEÇOTE",0,1,DESCLASSIFICADO," ",329,329
"75208126	JUNTA TAMPA DE VÁLVULAS",0,6,DESCLASSIFICADO," ",264,44
"73163981	SUPORTE FERRO",0,2,DESCLASSIFICADO," ",544,272
"75206879	JUNTA",0,6,DESCLASSIFICADO," ",36,6
"75254964	CINTA PRESILHA",0,1,DESCLASSIFICADO," ",111,111
"75289706	BOMBA INJETORA",0,1,DESCLASSIFICADO," ",9134,9134
"75208731	BOMBA ALIMENTADORA",0,1,DESCLASSIFICADO," ",428,428
"75289682	TUBO INJETOR",0,1,DESCLASSIFICADO," ",98,98
"75289684	TUBO INJETOR",0,1,DESCLASSIFICADO," ",98,98
"75289683	TUBO INJETOR",0,1,DESCLASSIFICADO," ",98,98
"75289687	TUBO INJETOR",0,1,DESCLASSIFICADO," ",98,98
"75289688	TUBO INJETOR",0,1,DESCLASSIFICADO," ",98,98
"75289689	TUBO INJETOR",0,1,DESCLASSIFICADO," ",98,98
"75286118	CHICOTE",0,1,DESCLASSIFICADO," ",204,204
"73163867	COXIM",0,10,DESCLASSIFICADO," ",550,55
"73163866	COXIM",0,10,DESCLASSIFICADO," ",510,51
"75324846	TUBO",0,2,DESCLASSIFICADO," ",316,158
"75324849	TUBO",0,2,DESCLASSIFICADO," ",210,105
"87354991	FLANGE",0,1,DESCLASSIFICADO," ",238,238
"73162805	MOTOR HIDRÁULICO",0,1,DESCLASSIFICADO," ",1299,1299
"73159101	VALVULA SOLENÓIDE",0,1,DESCLASSIFICADO," ",729,729
"75260330	COTOVELO",0,2,DESCLASSIFICADO," ",632,316
"75206837	CÁRTER",0,1,DESCLASSIFICADO," ",738,738
"75289675	JUNTA",0,1,DESCLASSIFICADO," ",72,72
"75206819	AMORTECEDOR",0,2,DESCLASSIFICADO," ",830,415
"75264240	MOTOR DE ARRANQUE",0,1,DESCLASSIFICADO," ",2390,2390
"75289094	MOTOR LIMPADOR",0,1,DESCLASSIFICADO," ",883,883
"75208113	TAMPA DE VÁLVULA",0,1,DESCLASSIFICADO," ",478,478
"J935449	ANEL",0,18,DESCLASSIFICADO," ",72,4
"76195604	CORREIA",0,6,DESCLASSIFICADO," ",540,90
"519381	ANEL",0,30,DESCLASSIFICADO," ",210,7
"86977781	ANEL",0,30,DESCLASSIFICADO," ",150,5
"75313634	VARETA",0,1,DESCLASSIFICADO," ",71,71
"75252238	CONEXAO",0,1,DESCLASSIFICADO," ",53,53
"73164400	TROCADOR DE CALOR",0,1,DESCLASSIFICADO," ",1710,1710
"70686384	TERMINAL",0,12,DESCLASSIFICADO," ",768,64
"73160779	LUVA",0,12,DESCLASSIFICADO," ",108,9
"73125852	ROLAMENTO",0,12,DESCLASSIFICADO," ",780,65
"73121925	ARRUELA",0,18,DESCLASSIFICADO," ",72,4
"70911040	PORCA",0,18,DESCLASSIFICADO," ",18,1
"73157027	TIRANTE",0,6,DESCLASSIFICADO," ",474,79
"73125849	ROLAMENTO",0,6,DESCLASSIFICADO," ",648,108
"J928161	SOLENÓIDE",0,1,DESCLASSIFICADO," ",735,735
"87632361	CILINDRO INCLINAÇÃO",0,1,DESCLASSIFICADO," ",1994,1994
"75257700	RADIADOR DE ÓLEO",0,1,DESCLASSIFICADO," ",4776,4776
"73164370	HÉLICE MOTOR",0,1,DESCLASSIFICADO," ",1085,1085
"75208341	TERMOSTATO",0,1,DESCLASSIFICADO," ",117,117
"J800976	BOMBA DÁGUA",0,2,DESCLASSIFICADO," ",1012,506
"75286312	TENSOR DA CORREIA",0,2,DESCLASSIFICADO," ",996,498
"75288512	ROLAMENTO",0,4,DESCLASSIFICADO," ",416,104
"75289439	VÁLVULA",0,1,DESCLASSIFICADO," ",2226,2226
"75249866	EIXO",0,2,DESCLASSIFICADO," ",1204,602
"75221734	HASTE",0,1,DESCLASSIFICADO," ",1126,1126
"75259844	SENSOR",0,1,DESCLASSIFICADO," ",720,720
"71103549	COROA E PINHÃO",0,1,DESCLASSIFICADO," ",3664,3664
"75241505	ALTERNADOR",0,1,DESCLASSIFICADO," ",1488,1488
"75289409	ENGRENAGEM",0,1,DESCLASSIFICADO," ",1832,1832
"75288896	RETENTOR",0,18,DESCLASSIFICADO," ",558,31
"75288885	ROLAMENTO",0,6,DESCLASSIFICADO," ",474,79
"75287708	DISCO SINTERIZADO",0,30,DESCLASSIFICADO," ",1650,55
"75312848	DISCO SINTERIZADO",0,30,DESCLASSIFICADO," ",1230,41
"75312848	DISCO SINTERIZADO",0,20,DESCLASSIFICADO," ",1020,51
"87671572	CUBO DE RODA DIANTEIRA",0,1,DESCLASSIFICADO," ",1594,1594
"76035007	ROLAMENTO",0,6,DESCLASSIFICADO," ",708,118
"75289647	VOLANTE MOTOR",0,1,DESCLASSIFICADO," ",1045,1045
"75289655	TURBINA",0,1,DESCLASSIFICADO," ",2729,2729
"87667592	CORRENTE",0,4,DESCLASSIFICADO," ",2524,631
"75289408	TAMBOR TRANSMISSÃO",0,1,DESCLASSIFICADO," ",3062,3062
"87647437	PONTA DE EIXO DIANTEIRA",0,2,DESCLASSIFICADO," ",2822,1411
"87625339	ENGRENAGEM",0,2,DESCLASSIFICADO," ",838,419
"71103527	ENGRENAGEM ANELAR",0,1,DESCLASSIFICADO," ",1234,1234
"75324054	BOMBA HIDRÁULICA",0,1,DESCLASSIFICADO," ",2568,2568
"75289697	TUBO",0,1,DESCLASSIFICADO," ",342,342
"75289699	VALVULA SOLENÓIDE",0,1,DESCLASSIFICADO," ",756,756
"75249889	CHICOTE FREIO",0,1,DESCLASSIFICADO," ",242,242
"75289673	ENGRENAGEM",0,1,DESCLASSIFICADO," ",766,766
"75286636	ENGRENAGEM",0,1,DESCLASSIFICADO," ",610,610
"75287712	PISTÃO",0,2,DESCLASSIFICADO," ",878,439
"75387753	MOLA PRATO",0,3,DESCLASSIFICADO," ",333,111
"75288824	CRUZETA",0,6,DESCLASSIFICADO," ",1026,171
"70927236	PARAFUSO",0,36,DESCLASSIFICADO," ",216,6
"70912441	ARRUELA",0,36,DESCLASSIFICADO," ",36,1
"75254572	INDICADOR DE PRESSÃO",0,1,DESCLASSIFICADO," ",1173,1173
"73125481	PLACA",0,24,DESCLASSIFICADO," ",1344,56
"73125480	PLACA",0,24,DESCLASSIFICADO," ",1512,63
"73126330	PARAFUSO",0,160,DESCLASSIFICADO," ",960,6
"87616831	CHAPA",0,16,DESCLASSIFICADO," ",496,31
"87616832	CHAPA",0,16,DESCLASSIFICADO," ",496,31
"75248931	SAPATA",0,4,DESCLASSIFICADO," ",2500,625
"73125482	CALÇO DESGASTE",0,24,DESCLASSIFICADO," ",2352,98
"73125483	CALÇO DE AJUSTE",0,64,DESCLASSIFICADO," ",384,6
"75266819	BARRA",0,2,DESCLASSIFICADO," ",2738,1369
"75266792	BARRA",0,2,DESCLASSIFICADO," ",1928,964
"75248811	CHAPA",0,18,DESCLASSIFICADO," ",792,44
"75248809	CALÇO",0,80,DESCLASSIFICADO," ",320,4
"75248810	PLACA",0,28,DESCLASSIFICADO," ",812,29
"75243732	SUPORTE",0,12,DESCLASSIFICADO," ",1440,120
"75248807	PLACA",0,24,DESCLASSIFICADO," ",1344,56
"75220700	JG REPARO",0,6,DESCLASSIFICADO," ",960,160
"75220797	JG REPARO",0,6,DESCLASSIFICADO," ",912,152
"73125891	INTERRUPTOR",0,1,DESCLASSIFICADO," ",631,631
"75252215	SENSOR VELOCIDADE",0,1,DESCLASSIFICADO," ",564,564
"75249995	FAROL L.D.",0,2,DESCLASSIFICADO," ",340,170
"75249994	FAROL L.E.",0,2,DESCLASSIFICADO," ",340,170
"73131968	ALARME DE RÉ",0,1,DESCLASSIFICADO," ",252,252
"75313348	PALHETA",0,2,DESCLASSIFICADO," ",298,149
"75286906	RESERVATÓRIO",0,1,DESCLASSIFICADO," ",623,623
"75207848	BICO INJETOR",0,6,DESCLASSIFICADO," ",3456,576
"75206879	JUNTA",0,6,DESCLASSIFICADO," ",48,8
"73164453	SILENCIOSO",0,1,DESCLASSIFICADO," ",800,800
"75323452	TUBO SAÍDA",0,1,DESCLASSIFICADO," ",219,219
"A162896	ABRAÇADEIRA",0,6,DESCLASSIFICADO," ",216,36
"75324192	PROTETOR",0,1,DESCLASSIFICADO," ",216,216
"73124881	VÁLVULA",0,1,DESCLASSIFICADO," ",721,721
"73125404	BUCHA",0,12,DESCLASSIFICADO," ",696,58
"73125400	PINO",0,12,DESCLASSIFICADO," ",480,40
"75252844	PINO",0,6,DESCLASSIFICADO," ",966,161
"75288868	JG REPARO",0,6,DESCLASSIFICADO," ",534,89
"75288901	JG REPARO",0,6,DESCLASSIFICADO," ",588,98
"75249884	CHICOTE ELÉTRICO",0,1,DESCLASSIFICADO," ",883,883
"73117176	CHAVE",0,1,DESCLASSIFICADO," ",343,343
"75254363	PARABRISA",0,1,DESCLASSIFICADO," ",1288,1288
"75311329	PARABRISA",0,1,DESCLASSIFICADO," ",713,713
"75310347	BORRACHA",0,2,DESCLASSIFICADO," ",306,153
"75206828	COLETOR ESCAPE",0,1,DESCLASSIFICADO," ",630,630
"75327635	CHICOTE ELÉTRICO MOTOR",0,1,DESCLASSIFICADO," ",211,211
"87682623	CHICOTE ELÉTRICO TRANSMISSÃO",0,1,DESCLASSIFICADO," ",375,375
"75289394	EIXO",0,1,DESCLASSIFICADO," ",629,629
"75289381	ENGRENAGEM",0,2,DESCLASSIFICADO," ",794,397
"75287707	PLACA DE ENCOSTO",0,6,DESCLASSIFICADO," ",1212,202
"73124679	ROLAMENTO",0,9,DESCLASSIFICADO," ",648,72
"73164343	RADIADOR DÁGUA",0,1,DESCLASSIFICADO," ",3945,3945
"73124672	RASPADOR",0,24,DESCLASSIFICADO," ",192,8
"73125712	PARAFUSO",0,24,DESCLASSIFICADO," ",288,12
"70913830	PORCA",0,24,DESCLASSIFICADO," ",192,8
"75221276	TERMINAL",0,12,DESCLASSIFICADO," ",1908,159
"75219488	PONTEIRA",0,10,DESCLASSIFICADO," ",1370,137
"75221272	COIFA",0,6,DESCLASSIFICADO," ",270,45
"70684817	ROLAMENTO DE RODA",0,4,DESCLASSIFICADO," ",864,216
"70901348	CONTRAPINO",0,32,DESCLASSIFICADO," ",32,1
"73124684	ROLAMENTO DE RODA",0,4,DESCLASSIFICADO," ",952,238
"75289439	VÁLVULA DE ALÍVIO",0,1,DESCLASSIFICADO," ",1602,1602
"75288881	RETENTOR DE ÓLEO",0,1,DESCLASSIFICADO," ",484,484
"79084753	ABRAÇADEIRA",0,24,DESCLASSIFICADO," ",192,8
"75284007	BUCHA",0,2,DESCLASSIFICADO," ",358,179
"10902221	PORCA",0,48,DESCLASSIFICADO," ",48,1
"11227721	PARAFUSO",0,48,DESCLASSIFICADO," ",240,5
"70923174	CONEXÃO",0,12,DESCLASSIFICADO," ",408,34
"75287752	ANEL VEDAÇÃO",0,12,DESCLASSIFICADO," ",1152,96
"75312824	VALVULA REGULADORA",0,1,DESCLASSIFICADO," ",2970,2970
"75261090	HASTE NIVELADORA",0,1,DESCLASSIFICADO," ",576,576
"87357574	CABO",0,1,DESCLASSIFICADO," ",202,202
"73125851	JUNTA ESFÉRICA",0,12,DESCLASSIFICADO," ",948,79
"75241795	MANOPLA",0,4,DESCLASSIFICADO," ",260,65
"71100242	JG REPARO ORBITROL",0,1,DESCLASSIFICADO," ",748,748
"MAO DE OBRA MECANICA",0,300,DESCLASSIFICADO," ",33000,110
"A162896	ABRAÇADEIRA",0,6,DESCLASSIFICADO," ",216,36
"75324192	PROTETOR",0,1,DESCLASSIFICADO," ",215,215
"73124881	VÁLVULA",0,1,DESCLASSIFICADO," ",720,720
"73125404	BUCHA",0,12,DESCLASSIFICADO," ",696,58
"73125400	PINO",0,12,DESCLASSIFICADO," ",480,40
"75252844	PINO",0,6,DESCLASSIFICADO," ",966,161
"75288868	JG REPARO",0,3,DESCLASSIFICADO," ",267,89
"75288901	JG REPARO",0,3,DESCLASSIFICADO," ",294,98
"75249884	CHICOTE ELÉTRICO",0,1,DESCLASSIFICADO," ",883,883
"73117176	CHAVE",0,1,DESCLASSIFICADO," ",343,343
"75287752	ANEL VEDAÇÃO",0,10,DESCLASSIFICADO," ",960,96
"75261090	HASTE NIVELADORA",0,1,DESCLASSIFICADO," ",576,576
"87357574	CABO",0,1,DESCLASSIFICADO," ",202,202
"73125851	JUNTA ESFÉRICA",0,12,DESCLASSIFICADO," ",948,79
"75241795	MANOPLA",0,4,DESCLASSIFICADO," ",260,65
"73124684	ROLAMENTO DE RODA",0,4,DESCLASSIFICADO," ",952,238
"75289439	VÁLVULA DE ALÍVIO",0,1,DESCLASSIFICADO," ",1602,1602
"75288881	RETENTOR DE ÓLEO",0,1,DESCLASSIFICADO," ",484,484
"79084753	ABRAÇADEIRA",0,24,DESCLASSIFICADO," ",192,8
"75284007	BUCHA",0,2,DESCLASSIFICADO," ",358,179
"73124679	ROLAMENTO",0,3,DESCLASSIFICADO," ",216,72
"73164343	RADIADOR DÁGUA",0,1,DESCLASSIFICADO," ",3945,3945
"73124672	RASPADOR",0,24,DESCLASSIFICADO," ",192,8
"73125712	PARAFUSO",0,24,DESCLASSIFICADO," ",288,12
"70913830	PORCA",0,24,DESCLASSIFICADO," ",192,8
"75286906	RESERVATÓRIO",0,1,DESCLASSIFICADO," ",623,623
"75207848	BICO INJETOR",0,6,DESCLASSIFICADO," ",3450,575
"75206879	JUNTA",0,6,DESCLASSIFICADO," ",48,8
