descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"87315528	CILINDRO DA SAPATA",1341960,1494,1,ATIVO,UNIDADE,1380.58,1380.58
"12705705	TUBO SAÍDA",1341961,3396,2,ATIVO,UNIDADE,162.66,81.33
"3303802	RADIADOR  DÁGUA",1341962,3395,1,ATIVO,UNIDADE,3006.27,3006.27
"3304079	ARO",1341963,3394,2,ATIVO,UNIDADE,5722.08,2861.04
"3300600	TERMÔMETRO MOTOR",1341964,3393,4,ATIVO,UNIDADE,216.88,54.22
"3327450	HORÍMETRO",1341965,3392,2,ATIVO,UNIDADE,137.48,68.74
"3300601	MANÔMETRO AR",1341966,3391,4,ATIVO,UNIDADE,213,53.25
"3300470	MANÔMETRO MOTOR",1341967,3390,4,ATIVO,UNIDADE,216.88,54.22
"945039	CILINDRO MESTRE",1341968,3389,2,ATIVO,UNIDADE,1568.48,784.24
"945041	JG REPARO CILINDRO MESTRE",1341969,3388,4,ATIVO,UNIDADE,739.72,184.93
"3304065	VALVULA REGULADORA",1341970,3387,2,ATIVO,UNIDADE,422.14,211.07
"1574465	RÓTULA",1341971,3386,8,ATIVO,UNIDADE,333.04,41.63
"2526860	HASTE CILINDRO",1341972,3385,2,ATIVO,UNIDADE,2048.72,1024.36
"2526861	CAMISA CILINDRO",1341973,3384,2,ATIVO,UNIDADE,1787.3,893.65
"2523869	HASTE CILINDRO",1341974,3383,2,ATIVO,UNIDADE,1322.56,661.28
"2526656	HASTE CILINDRO",1341975,3382,2,ATIVO,UNIDADE,1216.06,608.03
"2530108	JG REP. CILINDRO LEVANTE",1341976,3381,4,ATIVO,UNIDADE,185.88,46.47
"2530107	JG REP. CILINDRO CAÇAMBA",1341977,3380,4,ATIVO,UNIDADE,170.4,42.6
"2530106	JG REP. CILINDRO DIREÇÃO",1341978,3379,4,ATIVO,UNIDADE,139.44,34.86
"3303775	PUNHO GIRATÓRIO",1341979,3378,4,ATIVO,UNIDADE,274.96,68.74
"3303080	ORBITROL",1341980,3377,1,ATIVO,UNIDADE,2883.31,2883.31
"2515558	BOMBA HIDRÁULICA PRINCIPAL",1341981,3376,2,ATIVO,UNIDADE,4995.92,2497.96
"3304103	CARDÃ EIXO TRASEIRO",1341982,3375,1,ATIVO,UNIDADE,791.99,791.99
"3302925	CARDÃ TRANSMISSÃO",1341983,3374,1,ATIVO,UNIDADE,708.72,708.72
"3302811	CABO DE FREIO",1341984,3373,2,ATIVO,UNIDADE,145.24,72.62
"3312331	LONA FREIO",1341985,3372,6,ATIVO,UNIDADE,98.76,16.46
"2520346	JUNTA ESFÉRICA",1341986,3371,12,ATIVO,UNIDADE,197.52,16.46
"234650	VEDADOR",1341987,3370,16,ATIVO,UNIDADE,232.32,14.52
"3305192	CABO COMANDO",1341988,3397,4,ATIVO,UNIDADE,484.12,121.03
"234167	HASTE",1341989,3369,4,ATIVO,UNIDADE,689.36,172.34
"3319764	LUVA",1341990,3398,4,ATIVO,UNIDADE,805.56,201.39
"124041	TAMPA",1341991,3400,2,ATIVO,UNIDADE,499.6,249.8
"370060052	PINO DA CONCHA",1341992,5504,2,ATIVO,UNIDADE,231.54,115.77
"370060123	BUCHA",1341993,5503,4,ATIVO,UNIDADE,156.92,39.23
"370060122	BUCHA",1341994,5502,8,ATIVO,UNIDADE,222,27.75
"370060548	BUCHA",1341995,5501,4,ATIVO,UNIDADE,172.24,43.06
"370060047	PINO CENTRAL",1341996,5500,1,ATIVO,UNIDADE,120.55,120.55
"370060495	PINO",1341997,5499,1,ATIVO,UNIDADE,171.26,171.26
"370060045	PINO",1341998,5498,1,ATIVO,UNIDADE,222.93,222.93
"370060037	PINO",1341999,5497,2,ATIVO,UNIDADE,164.56,82.28
"370060032	PINO DA LANÇA",1342000,5496,2,ATIVO,UNIDADE,344.44,172.22
"370060010	PINO INFERIOR",1342001,5495,2,ATIVO,UNIDADE,302.34,151.17
"370060009	PINO SUPERIOR",1342002,5494,2,ATIVO,UNIDADE,332.96,166.48
"370060571	BUCHA",1342003,5493,8,ATIVO,UNIDADE,283.2,35.4
"370060570	BUCHA",1342004,5492,8,ATIVO,UNIDADE,214.32,26.79
"370060547	BUCHA",1342005,5491,6,ATIVO,UNIDADE,252.6,42.1
"370060546	BUCHA",1342006,5490,6,ATIVO,UNIDADE,367.38,61.23
"370060544	BUCHA",1342007,5489,6,ATIVO,UNIDADE,235.38,39.23
"370060543	BUCHA",1342008,5488,10,ATIVO,UNIDADE,392.3,39.23
"370060180	PINO SUPERIOR",1342009,5487,4,ATIVO,UNIDADE,539.64,134.91
"218002035	COXIM",1342010,5486,16,ATIVO,UNIDADE,214.24,13.39
"219000155	CALÇO",1342011,5485,24,ATIVO,UNIDADE,91.92,3.83
"219000156	CALÇO",1342012,5484,24,ATIVO,UNIDADE,91.92,3.83
"210003900	PARAFUSO",1342013,5483,24,ATIVO,UNIDADE,206.64,8.61
"370060041	BUCHA",1342014,5482,4,ATIVO,UNIDADE,302.36,75.59
"370060002	BUCHA",1342015,5481,4,ATIVO,UNIDADE,271.72,67.93
"370060011	BUCHA SUPERIOR",1342016,5480,4,ATIVO,UNIDADE,271.72,67.93
"370060001	BUCHA INFERIOR",1342017,5479,4,ATIVO,UNIDADE,225.8,56.45
"MAO DE OBRA MECANICA",1342018,3401,200,ATIVO,HORAS,19558,97.79
"234419	VALVULA CONTROLE",1342019,3399,1,ATIVO,UNIDADE,1765.03,1765.03
"370060127	PINO DA CONCHA",1342020,5505,2,ATIVO,UNIDADE,183.7,91.85
"234169	HASTE",1342021,3368,4,ATIVO,UNIDADE,499.6,124.9
"234113	VEDADOR",1342022,3366,16,ATIVO,UNIDADE,201.44,12.59
"12705698	SILENCIOSO",1342023,3334,2,ATIVO,UNIDADE,263.36,131.68
"554686	AMORTECEDOR",1342024,3333,16,ATIVO,UNIDADE,232.32,14.52
"2512037	ESPAÇADOR",1342025,3332,16,ATIVO,UNIDADE,61.92,3.87
"2555865	PINO",1342026,3331,4,ATIVO,UNIDADE,658.36,164.59
"513372	PINO",1342027,3330,4,ATIVO,UNIDADE,216.88,54.22
"2555867	PINO",1342028,3329,4,ATIVO,UNIDADE,573.16,143.29
