ano,data,dataVencimento,itens,numero,ocorrencias
2021,2021-10-01,2022-10-01,"itens_77a96044-48ab-4f20-bdb8-9d6fdffce398.csv",163," "
2021,2021-10-04,2022-10-04,"itens_4364b9ac-48d5-43ae-aa66-25789a147cc0.csv",167," "
2021,2021-10-04,2022-10-04,"itens_6e9cb8d6-f35e-4588-8309-da719df92706.csv",168," "
2021,2021-10-04,2022-10-04,"itens_38462b75-0831-4572-88ad-fcdaa847d2a5.csv",169,"ocorrencias_8d57e1cc-8925-4736-9714-ebab735d04ad.csv"
2021,2021-10-04,2022-10-04,"itens_96ae8216-9789-4433-82dc-f5853a30c455.csv",170," "
2021,2021-10-04,2022-10-04,"itens_5a6916f4-b2ec-45b4-9a4c-4fac294f30c6.csv",171," "
2021,2021-10-04,2022-10-04,"itens_a6c2d1f0-c12c-4d65-8c10-379910e2f1b0.csv",172," "
2021,2021-10-04,2022-10-04,"itens_7f3e6496-1672-435f-974f-bf39f5c05204.csv",173," "
2021,2021-10-04,2022-10-04,"itens_b9f23044-a3c9-4590-a3db-189b1fea6b32.csv",174," "
2021,2021-10-04,2022-10-04,"itens_389f3ea9-4219-4c30-b232-8b760e00b32b.csv",175," "
2021,2021-10-04,2022-10-04,"itens_7c31a830-93ef-45e7-a1f8-a293a61cd012.csv",176," "
2021,2021-10-04,2022-10-04,"itens_1bad379a-4c5e-45c0-9229-126a14b7e8a6.csv",177," "
2021,2021-10-04,2022-10-04,"itens_31fa060d-a91e-4513-a936-fbff3a70d3aa.csv",178," "
