descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"84482108	RETENTOR",0,8,DESCLASSIFICADO," ",304,38
"5133799	RETENTOR",0,8,DESCLASSIFICADO," ",440,55
"5177709	RETENTOR",0,8,DESCLASSIFICADO," ",304,38
"84203537	CABO ACELERADOR",0,2,DESCLASSIFICADO," ",336,168
"5167202	ALAVANCA",0,2,DESCLASSIFICADO," ",216,108
"82018664	CILINDRO MESTRE",0,2,DESCLASSIFICADO," ",1104,552
"5184313	DISCO FREIO",0,4,DESCLASSIFICADO," ",1184,296
"5191350	PISTAO FREIO",0,4,DESCLASSIFICADO," ",2496,624
"5118101	DISCO FREIO",0,4,DESCLASSIFICADO," ",480,120
"5130785	PLACA SEPARADORA",0,4,DESCLASSIFICADO," ",384,96
"5183158	CABO FREIO ESTACIONÁRIO",0,2,DESCLASSIFICADO," ",440,220
"5189875	KIT EMBREAGEM",0,1,DESCLASSIFICADO," ",3088,3088
"5167167	SUPORTE DO ROLAMENTO",0,2,DESCLASSIFICADO," ",1456,728
"87345759	ROLAMENTO EMBREAGEM",0,2,DESCLASSIFICADO," ",384,192
"5167184	GUIA",0,2,DESCLASSIFICADO," ",1248,624
"87373914	CABO EMBREAGEM",0,2,DESCLASSIFICADO," ",656,328
"5153715	COROA E PINHÃO",0,1,DESCLASSIFICADO," ",3384,3384
"5130990	ROLAMENTO DO PINHÃO",0,2,DESCLASSIFICADO," ",400,200
"24903460	ROLAMENTO DIFERENCIAL",0,4,DESCLASSIFICADO," ",1216,304
"24903480	ROLAMENTO DIFERENCIAL",0,4,DESCLASSIFICADO," ",1312,328
"5166549	EIXO DIANTEIRO L.D.",0,1,DESCLASSIFICADO," ",2768,2768
"5166562	EIXO DIANTEIRO L.E.",0,1,DESCLASSIFICADO," ",2768,2768
"5189825	DISCO EMBREAGEM",0,1,DESCLASSIFICADO," ",1952,1952
"5188093	SINCRONIZADOR",0,2,DESCLASSIFICADO," ",6384,3192
"5131167	EIXO ENTALHADO",0,1,DESCLASSIFICADO," ",2592,2592
"5126458	ROLAMENTO",0,4,DESCLASSIFICADO," ",1056,264
"5117539	ROLAMENTO AGULHAS",0,4,DESCLASSIFICADO," ",384,96
"5105534	RETENTOR",0,6,DESCLASSIFICADO," ",360,60
"5105536	RETENTOR",0,6,DESCLASSIFICADO," ",336,56
"5167151	EIXO",0,2,DESCLASSIFICADO," ",4336,2168
"26794660	ROLAMENTO ESFÉRICO",0,4,DESCLASSIFICADO," ",608,152
"24905130	ROLAMENTO ESFÉRICO",0,4,DESCLASSIFICADO," ",544,136
"5167937	DISCO TDF",0,2,DESCLASSIFICADO," ",1760,880
"87520950	PEDAL",0,1,DESCLASSIFICADO," ",1344,1344
"87536431	VARÃO",0,2,DESCLASSIFICADO," ",304,152
"5186629	SINCRONIZADOR",0,1,DESCLASSIFICADO," ",2136,2136
"5161817	EIXO",0,1,DESCLASSIFICADO," ",1896,1896
"5138660	ROLAMENTO ACIONADOR",0,2,DESCLASSIFICADO," ",496,248
"5125062	SEMI EIXO L.D.",0,1,DESCLASSIFICADO," ",1512,1512
"5125063	SEMI EIXO L.E.",0,1,DESCLASSIFICADO," ",1512,1512
"5125349	EIXO ACIONADOR",0,1,DESCLASSIFICADO," ",2016,2016
"5123466	LUVA ESTRIADA",0,2,DESCLASSIFICADO," ",608,304
"5123982	ENGRENAGEM MOTORA",0,2,DESCLASSIFICADO," ",2464,1232
"5160495	ENGRENAGEM INTERMEDIÁRIA",0,2,DESCLASSIFICADO," ",4608,2304
"5174202	GARFO",0,2,DESCLASSIFICADO," ",4080,2040
"5127387	GARFO",0,2,DESCLASSIFICADO," ",3872,1936
"73401126	KIT DIFERENCIAL",0,1,DESCLASSIFICADO," ",2872,2872
"5125065	ENGRENAGEM",0,6,DESCLASSIFICADO," ",1344,224
"5125064	COROA DENTADA",0,2,DESCLASSIFICADO," ",2416,1208
"4997203	PINO",0,6,DESCLASSIFICADO," ",624,104
"5173735	PONTA EIXO",0,2,DESCLASSIFICADO," ",5296,2648
"20645490	ROLAMENTO",0,4,DESCLASSIFICADO," ",896,224
"20141040	ROLAMENTO",0,4,DESCLASSIFICADO," ",1184,296
"5123205	RETENTOR",0,2,DESCLASSIFICADO," ",408,204
"MAO DE OBRA MECANICA",0,200,DESCLASSIFICADO," ",21600,108
"7021502	BÓIA",0,1,PERDEU," ",616,616
"7202084	JUNTA LATERAL",0,8,PERDEU," ",288,36
"7003606	JG. REP. CILINDRO HIDRÁULICO",0,4,PERDEU," ",592,148
"7039127	PINO CENTRAL",0,2,PERDEU," ",608,304
"7010753	PARAFUSO SEXTAVADO",0,16,PERDEU," ",224,14
"7022241	BLOCO VÁLVULA VIBRADORA",0,2,PERDEU," ",5184,2592
"70003421	VÁLVULA DE BLOQUEIO",0,2,PERDEU," ",4144,2072
"2551147	BOMBA DE ENGRENAGENS",0,1,PERDEU," ",3976,3976
"2551217	HÉLICE DO MOTOR",0,1,PERDEU," ",1512,1512
"2590707	TAMPA RADIADOR",0,2,PERDEU," ",104,52
"2590704	VISOR NÍVEL RADIADOR",0,1,PERDEU," ",464,464
"2590219	COXIM",0,8,PERDEU," ",144,18
"2554717	MANGUEIRA DA TURBINA",0,2,PERDEU," ",584,292
"2554701	SILENCIOSO",0,1,PERDEU," ",552,552
"7010569	PARAFUSO SEXTAVADO",0,24,PERDEU," ",192,8
"2554996	MANGUEIRA INF. RADIADOR",0,2,PERDEU," ",280,140
"2554980	MANGUEIRA SUP. RADIADOR",0,2,PERDEU," ",280,140
"7012422	ABRAÇADEIRA",0,8,PERDEU," ",48,6
"7123903	PINHÃO",0,2,PERDEU," ",3152,1576
"7123905	PINHÃO",0,2,PERDEU," ",2688,1344
"7123906	ROLAMENTO",0,8,PERDEU," ",2408,301
"7123909	ANEL O",0,20,PERDEU," ",100,5
"7123910	ANEL O",0,20,PERDEU," ",80,4
"7055903	FAROL CONJUNTO",0,6,PERDEU," ",840,140
"7202773	RODA MOTRIZ",0,2,PERDEU," ",4608,2304
"7016606	ROLETE",0,12,PERDEU," ",12864,1072
"7011854	ROLETE",0,2,PERDEU," ",2704,1352
"7098178	CORRENTE",0,4,PERDEU," ",3072,768
"7098179	CORRENTE",0,4,PERDEU," ",3040,760
"7098162	ENGRENAGEM",0,4,PERDEU," ",3968,992
"7098419	BUCHA",0,6,PERDEU," ",792,132
"12413	COXIM DE BORRACHA",0,8,PERDEU," ",816,102
"MAO DE OBRA MECANICA",0,200,PERDEU," ",21600,108
"VA32E0102100	JUNTA CABEÇOTE",0,2,DESCLASSIFICADO," ",1400,700
"VA32E0102100	PARAFUSO",0,20,DESCLASSIFICADO," ",180,9
"VA3430102200	GUIA DE VÁLVULA ADMISSÃO",0,4,DESCLASSIFICADO," ",732,183
"VA3430102300	GUIA DE VÁLVULA ESCAPE",0,4,DESCLASSIFICADO," ",632,158
"VA3430101600	VÁLVULA ESCAPE",0,4,DESCLASSIFICADO," ",568,142
"VA32G0102100	VÁLVULA ADMISSÃO",0,4,DESCLASSIFICADO," ",528,132
"VA3430511100	TUCHO DE VÁLVULA",0,8,DESCLASSIFICADO," ",1384,173
"VA3430909051	JG DE BRONZINA",0,5,DESCLASSIFICADO," ",1030,206
"VA34311200080	RETENTOR",0,2,DESCLASSIFICADO," ",490,245
"VA32G1200100	CARCAÇA",0,1,DESCLASSIFICADO," ",2008,2008
"VA32G1311200	INDICADOR PRESSÃO ÓLEO",0,2,DESCLASSIFICADO," ",500,250
"VA3421304100	JUNTA CÁRTER",0,2,DESCLASSIFICADO," ",254,127
"VA32G1302010	CÁRTER MOTOR",0,1,DESCLASSIFICADO," ",767,767
"VA32F1720100	PISTÃO DO MOTOR",0,4,DESCLASSIFICADO," ",3740,935
"VA3431707020	JG DE ANÉIS ,025MM",0,4,DESCLASSIFICADO," ",1080,270
"VA32F1902200	JG DE BRONZINA",0,4,DESCLASSIFICADO," ",844,211
"VA32G2000010	VIRABREQUIM",0,1,DESCLASSIFICADO," ",3188,3188
"VA32G2100010	VOLANTE MOTOR",0,1,DESCLASSIFICADO," ",2216,2216
"VA3432101201	CREMALHEIRA",0,1,DESCLASSIFICADO," ",1302,1302
"VA9223321600	PARAFUSO",0,12,DESCLASSIFICADO," ",180,15
"VA32G2302010	ENGRENAGEM INTERMEDIÁRIA",0,1,DESCLASSIFICADO," ",2095,2095
"VA32G300300	ENGRENAGEM GUIA",0,1,DESCLASSIFICADO," ",1067,1067
"VA32G2304300	ROLAMENTO",0,1,DESCLASSIFICADO," ",230,230
"VA32G304100	EIXO GUIA",0,1,DESCLASSIFICADO," ",438,438
"VA32G010100	COLETOR ADMISSÃO",0,1,DESCLASSIFICADO," ",1124,1124
"VA3423221600	COLETOR ESCAPE",0,1,DESCLASSIFICADO," ",753,753
"VA32E3201700	JUNTA COLETOR",0,4,DESCLASSIFICADO," ",92,23
"VA3423203502	TUBO ESCAPE",0,2,DESCLASSIFICADO," ",736,368
"VA4918902750	TURBINA",0,1,DESCLASSIFICADO," ",6388,6388
"VA4918314000	ABRAÇADEIRA",0,4,DESCLASSIFICADO," ",68,17
"VA32A3610010	VALVULA DE SEGURANÇA",0,2,DESCLASSIFICADO," ",584,292
"VA3423902101	RADIADOR DE ÓLEO",0,1,DESCLASSIFICADO," ",3824,3824
"YY30P01006P1	SUPORTE BOMBA HIDRÁULICA",0,1,DESCLASSIFICADO," ",1499,1499
"VA3434021070	CABEÇOTE DO FILTRO",0,1,DESCLASSIFICADO," ",623,623
"VA3444302500	RESPIRO DO MOTOR",0,2,DESCLASSIFICADO," ",670,335
"VAF430003201	ABRAÇADEIRA",0,6,DESCLASSIFICADO," ",78,13
"VA32G4301100	TUBO",0,2,DESCLASSIFICADO," ",568,284
"VA32G450100	POLIA BOMBA DÁGUA",0,1,DESCLASSIFICADO," ",478,478
"VA3434611500	SENSOR",0,1,DESCLASSIFICADO," ",697,697
"VA3434904400	CORREIA BOMBA DÁGUA",0,4,DESCLASSIFICADO," ",492,123
"VA3434801900	ESPAÇADOR",0,1,DESCLASSIFICADO," ",476,476
"VA32G4800200	HELICE",0,1,DESCLASSIFICADO," ",1688,1688
"VA32G103400	TUBO INJETOR",0,2,DESCLASSIFICADO," ",312,156
"VA32G103500	TUBO INJETOR",0,2,DESCLASSIFICADO," ",312,156
"VA32G103600	TUBO INJETOR",0,2,DESCLASSIFICADO," ",312,156
"VA32G6103700	TUBO INJETOR",0,2,DESCLASSIFICADO," ",312,156
"VA32G6100300	BOMBA INJETORA",0,1,DESCLASSIFICADO," ",10992,10992
"VA0556370258	ANEL ORING",0,1,DESCLASSIFICADO," ",152,152
"VA32G6600100	MOTOR DE ARRANQUE",0,1,DESCLASSIFICADO," ",3914,3914
