descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"75287752	ANEL VEDAÇÃO",1345425,2167,10,ATIVO,UNIDADE,837.3,83.73
"1177756	FLANGE",1345426,4313,1,ATIVO,UNIDADE,1310.39,1310.39
"1555652	RETENTOR",1345427,4312,10,ATIVO,UNIDADE,1114.4,111.44
"2644320	ESPAÇADOR",1345428,4311,4,ATIVO,UNIDADE,447.72,111.93
"1429024	MUNHÃO",1345429,4310,1,ATIVO,UNIDADE,1371.15,1371.15
"1591752	SENSOR TEMP. DÁGUA",1345430,4309,2,ATIVO,UNIDADE,837.98,418.99
"2582781	TUBO",1345431,4308,2,ATIVO,UNIDADE,386.16,193.08
"3K0360	ANEL O",1345432,4307,12,ATIVO,UNIDADE,58.8,4.9
"2258014	CHICOTE ELÉTRICO",1345433,4306,1,ATIVO,UNIDADE,2360.46,2360.46
"2634996	ACOPLAMENTO",1345434,4305,2,ATIVO,UNIDADE,787.4,393.7
"8T4121	PARAFUSO",1345435,4304,10,ATIVO,UNIDADE,161.7,16.17
"8T4136	PARAFUSO",1345436,4303,20,ATIVO,UNIDADE,84.2,4.21
"2324901	ABRAÇADEIRA",1345437,4302,10,ATIVO,UNIDADE,77.4,7.74
"694080	CONEXÃO",1345438,4301,8,ATIVO,UNIDADE,332.48,41.56
"1532682	AMORTECEDOR",1345439,4300,4,ATIVO,UNIDADE,1138.88,284.72
"2583761	AMORTECEDOR",1345440,4299,4,ATIVO,UNIDADE,1097.72,274.43
"1428865	HÉLICE",1345441,4298,2,ATIVO,UNIDADE,1052.82,526.41
"1707612	VARETA",1345442,4297,1,ATIVO,UNIDADE,185.53,185.53
"2020920	JUNTA",1345443,4296,4,ATIVO,UNIDADE,217.2,54.3
"1526739	RETENTOR",1345444,4295,4,ATIVO,UNIDADE,584.12,146.03
"1227052	ESPAÇADOR",1345445,4294,8,ATIVO,UNIDADE,152.08,19.01
"2583555	AMORTECEDOR",1345446,4293,4,ATIVO,UNIDADE,906,226.5
"2076154	VISOR DE ÓLEO",1345447,4292,1,ATIVO,UNIDADE,218.76,218.76
"8T4133	PORCA",1345448,4291,10,ATIVO,UNIDADE,35.3,3.53
"1659070	CERDAS DE AÇO",1345449,4290,12,ATIVO,UNIDADE,753.36,62.78
"1659069	CERDAS NYLON",1345450,4289,12,ATIVO,UNIDADE,812.64,67.72
"2584126	CHICOTE ELÉTRICO",1345451,4288,1,ATIVO,UNIDADE,2730.93,2730.93
"1559432	ROLAMENTO",1345452,4287,10,ATIVO,UNIDADE,1036.9,103.69
"1428719	PLACA",1345453,4314,2,ATIVO,UNIDADE,741.94,370.97
