descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"C12739	TAMBOR",1344435,4187,4,ATIVO,UNIDADE,3502.04,875.51
"800341140	ROLETE SUPERIOR",1344436,6715,4,ATIVO,UNIDADE,2626.76,656.69
"805004815	PARAFUSO RODA MOTRIZ",1344437,6714,120,ATIVO,UNIDADE,1039.2,8.66
"800341139	RODA MOTRIZ",1344438,6713,2,ATIVO,UNIDADE,2554.6,1277.3
"800340303	MOLA ESTICADOR DA ESTEIRA",1344439,6712,2,ATIVO,UNIDADE,2872.12,1436.06
"310700016	PINO CILINDRO DE LEVANTE",1344440,6711,2,ATIVO,UNIDADE,591.74,295.87
"801905568	ARRUELA DE AJUSTE",1344441,6710,30,ATIVO,UNIDADE,476.4,15.88
"803172436	ANEL VEDAÇÃO",1344442,6709,30,ATIVO,UNIDADE,606.3,20.21
"860120905	TAMPA DO CILINDRO",1344443,6708,1,ATIVO,UNIDADE,151.54,151.54
"860120922	PARAFUSO",1344444,6707,30,ATIVO,UNIDADE,194.7,6.49
"860121025	HASTE CILINDRO CAÇAMBA",1344445,6706,1,ATIVO,UNIDADE,873.66,873.66
"819908693	ARRUELA DE AJUSTE",1344446,6705,30,ATIVO,UNIDADE,389.7,12.99
"310602114	BUCHA DA TALA",1344447,6704,4,ATIVO,UNIDADE,502.28,125.57
"800104236	RESERVATÓRIO DAGUA",1344448,6703,1,ATIVO,UNIDADE,318.24,318.24
"310602113	BUCHA DA TALA",1344449,6702,4,ATIVO,UNIDADE,542.68,135.67
"310600286	PINO DA TALA",1344450,6701,2,ATIVO,UNIDADE,981.42,490.71
"310600284	PINO DA TALA",1344451,6700,2,ATIVO,UNIDADE,923.7,461.85
"310602112	BUCHA DA CONCHA",1344452,6699,4,ATIVO,UNIDADE,609.08,152.27
"310600285	PINO DA CONCHA",1344453,6698,2,ATIVO,UNIDADE,1111.32,555.66
"310600283	PINO DA CONCHA",1344454,6697,2,ATIVO,UNIDADE,1284.52,642.26
"860120576	PINHÃO",1344455,6696,1,ATIVO,UNIDADE,1364.38,1364.38
"860120866	KIT VEDAÇÃO ROTATIVA",1344456,6695,1,ATIVO,UNIDADE,1799.29,1799.29
"819909125	CORREIA AR CONDICIONADO",1344457,6694,4,ATIVO,UNIDADE,230.92,57.73
"800147179	BOMBA DAGUA",1344458,6693,2,ATIVO,UNIDADE,890.5,445.25
"800146140	TENSIONADOR",1344459,6692,2,ATIVO,UNIDADE,851.54,425.77
"800146234	TURBINA",1344460,6691,1,ATIVO,UNIDADE,2727.8,2727.8
"800145136	CORREIA",1344461,6690,2,ATIVO,UNIDADE,271.34,135.67
"800143915	JUNTA DE ESCAPE",1344462,6689,12,ATIVO,UNIDADE,60.6,5.05
"MAO DE OBRA MECANICA",1344463,6716,300,ATIVO,HORAS,29226,97.42
"800145948	MOTOR DE ARRANQUE",1344464,6688,1,ATIVO,UNIDADE,1529.88,1529.88
"MÃO DE OBRA MECANICA MAQUINAS RODOVIARIAS",1344465,6942,2600,ATIVO,HORA,255606,98.31
"800144985	ABRAÇADEIRA",1344496,6687,10,ATIVO,UNIDADE,324.7,32.47
"800147176	VEDADOR DE ÓLEO",1344497,6685,1,ATIVO,UNIDADE,238.14,238.14
"16105011	PORCA",1344498,5457,24,ATIVO,UNIDADE,19.92,0.83
"85801585	ARRUELA PRESSÃO",1344499,5456,24,ATIVO,UNIDADE,18.72,0.78
"85802618	ARRUELA LISA",1344500,5455,24,ATIVO,UNIDADE,18.72,0.78
"9706687	PARAFUSO",1344501,5454,24,ATIVO,UNIDADE,42,1.75
"9968037	CALÇO",1344502,5453,10,ATIVO,UNIDADE,73.1,7.31
"9968052	ANEL O",1344503,5452,10,ATIVO,UNIDADE,80.4,8.04
"9968047	ROLAMENTO",1344504,5451,4,ATIVO,UNIDADE,520.28,130.07
"9968032	PORCA DO PINHÃO",1344505,5450,1,ATIVO,UNIDADE,80.38,80.38
"84190375	COROA E PINHÃO DIANTEIRA",1344506,5449,1,ATIVO,UNIDADE,1541.86,1541.86
