descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"84482108	RETENTOR",0,8,PERDEU," ",271.76,33.97
"5133799	RETENTOR",0,8,PERDEU," ",392.56,49.07
"5177709	RETENTOR",0,8,PERDEU," ",271.76,33.97
"84203537	CABO ACELERADOR",0,2,PERDEU," ",300.06,150.03
"5167202	ALAVANCA",0,2,PERDEU," ",192.5,96.25
"82018664	CILINDRO MESTRE",0,2,PERDEU," ",988.9,494.45
"5184313	DISCO FREIO",0,4,PERDEU," ",1060.64,265.16
"5191350	PISTAO FREIO",0,4,PERDEU," ",2234.48,558.62
"5118101	DISCO FREIO",0,4,PERDEU," ",430.28,107.57
"5130785	PLACA SEPARADORA",0,4,PERDEU," ",343.48,85.87
"5183158	CABO FREIO ESTACIONÁRIO",0,2,PERDEU," ",394.42,197.21
"5189875	KIT EMBREAGEM",0,1,PERDEU," ",2767.61,2767.61
"5167167	SUPORTE DO ROLAMENTO",0,2,PERDEU," ",1302.18,651.09
"87345759	ROLAMENTO EMBREAGEM",0,2,PERDEU," ",343.48,171.74
"5167184	GUIA",0,2,PERDEU," ",1117.24,558.62
"87373914	CABO EMBREAGEM",0,2,PERDEU," ",588.82,294.41
"5153715	COROA E PINHÃO",0,1,PERDEU," ",3032.77,3032.77
"5130990	ROLAMENTO DO PINHÃO",0,2,PERDEU," ",351.02,175.51
"24903460	ROLAMENTO DIFERENCIAL",0,4,PERDEU," ",1087.04,271.76
"24903480	ROLAMENTO DIFERENCIAL",0,4,PERDEU," ",1173.84,293.46
"5166549	EIXO DIANTEIRO L.D.",0,1,PERDEU," ",2480.76,2480.76
"5166562	EIXO DIANTEIRO L.E.",0,1,PERDEU," ",2480.76,2480.76
"5189825	DISCO EMBREAGEM",0,1,PERDEU," ",1750.4,1750.4
"5188093	SINCRONIZADOR",0,2,PERDEU," ",5722.06,2861.03
"5131167	EIXO ENTALHADO",0,1,PERDEU," ",2323.17,2323.17
"5126458	ROLAMENTO",0,4,PERDEU," ",947.4,236.85
"5117539	ROLAMENTO AGULHAS",0,4,PERDEU," ",343.48,85.87
"5105534	RETENTOR",0,6,PERDEU," ",322.74,53.79
"5105536	RETENTOR",0,6,PERDEU," ",300.06,50.01
"5167151	EIXO",0,2,PERDEU," ",3887.68,1943.84
"26794660	ROLAMENTO ESFÉRICO",0,4,PERDEU," ",543.52,135.88
"24905130	ROLAMENTO ESFÉRICO",0,4,PERDEU," ",486.92,121.73
"5167937	DISCO TDF",0,2,PERDEU," ",1879.68,939.84
"87520950	PEDAL",0,1,PERDEU," ",1204.99,1204.99
"87536431	VARÃO",0,2,PERDEU," ",271.76,135.88
"5186629	SINCRONIZADOR",0,1,PERDEU," ",1915.53,1915.53
