descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"73125482	CALÇO DESGASTE",1341871,6618,24,ATIVO,UNIDADE,2071.44,86.31
"73125483	CALÇO DE AJUSTE",1341872,6619,64,ATIVO,UNIDADE,365.44,5.71
"75266792	BARRA",1341873,6620,8,ATIVO,UNIDADE,6790.32,848.79
"75248811	CHAPA",1341874,6621,18,ATIVO,UNIDADE,706.14,39.23
"75248809	CALÇO",1341875,6622,80,ATIVO,UNIDADE,285.6,3.57
"75248810	PLACA",1341876,6623,28,ATIVO,UNIDADE,719.04,25.68
"75243732	SUPORTE",1341877,6624,12,ATIVO,UNIDADE,1266.72,105.56
"75248807	PLACA",1341878,6625,24,ATIVO,UNIDADE,1181.28,49.22
"75220700	JG REPARO",1341879,6626,6,ATIVO,UNIDADE,847.38,141.23
"75220797	JG REPARO",1341880,6627,6,ATIVO,UNIDADE,800.28,133.38
"73125891	INTERRUPTOR",1341881,6628,1,ATIVO,UNIDADE,555.64,555.64
"75252215	SENSOR VELOCIDADE",1341882,6629,2,ATIVO,UNIDADE,992.88,496.44
"75249995	FAROL L.D.",1341883,6630,4,ATIVO,UNIDADE,599.16,149.79
"75249994	FAROL L.E.",1341884,6631,4,ATIVO,UNIDADE,599.16,149.79
"73131968	ALARME DE RÉ",1341885,6632,2,ATIVO,UNIDADE,443.66,221.83
"75313348	PALHETA",1341886,6633,6,ATIVO,UNIDADE,787.44,131.24
"75286906	RESERVATÓRIO",1341887,6634,2,ATIVO,UNIDADE,1097.02,548.51
"75206879	JUNTA",1341888,6635,20,ATIVO,UNIDADE,128.4,6.42
"73164453	SILENCIOSO",1341889,6636,2,ATIVO,UNIDADE,1409.42,704.71
"75323452	TUBO SAÍDA",1341890,6637,2,ATIVO,UNIDADE,386.6,193.3
"A162896	ABRAÇADEIRA",1341891,6638,10,ATIVO,UNIDADE,321,32.1
"75324192	PROTETOR",1341892,6639,6,ATIVO,UNIDADE,1138.38,189.73
"73124881	VÁLVULA",1341893,6640,4,ATIVO,UNIDADE,2536.4,634.1
"73125404	BUCHA",1341894,6641,12,ATIVO,UNIDADE,616.32,51.36
"73125400	PINO",1341895,6642,12,ATIVO,UNIDADE,419.4,34.95
"75252844	PINO",1341896,6643,10,ATIVO,UNIDADE,1412.3,141.23
"73117176	CHAVE",1341897,6644,4,ATIVO,UNIDADE,1209.72,302.43
"75248931	SAPATA",1341898,6617,10,ATIVO,UNIDADE,5499.3,549.93
"75254363	PARABRISA",1341899,6645,1,ATIVO,UNIDADE,1134.1,1134.1
"87616832	CHAPA",1341900,6616,16,ATIVO,UNIDADE,433.6,27.1
"73126330	PARAFUSO",1341901,6614,160,ATIVO,UNIDADE,913.6,5.71
"75257700	RADIADOR DE ÓLEO",1341902,6587,1,ATIVO,UNIDADE,4205.46,4205.46
"73164370	HÉLICE MOTOR",1341903,6588,1,ATIVO,UNIDADE,955.79,955.79
"75208341	TERMOSTATO",1341904,6589,1,ATIVO,UNIDADE,102.71,102.71
"J800976	BOMBA DÁGUA",1341905,6590,2,ATIVO,UNIDADE,891.6,445.8
"75286312	TENSOR DA CORREIA",1341906,6591,2,ATIVO,UNIDADE,877.32,438.66
"75288512	ROLAMENTO",1341907,6592,12,ATIVO,UNIDADE,1095.6,91.3
"75221734	HASTE",1341908,6593,1,ATIVO,UNIDADE,991.45,991.45
"75259844	SENSOR",1341909,6594,1,ATIVO,UNIDADE,634.1,634.1
"75288896	RETENTOR",1341910,6595,18,ATIVO,UNIDADE,487.8,27.1
"75288885	ROLAMENTO",1341911,6596,6,ATIVO,UNIDADE,419.4,69.9
"76035007	ROLAMENTO",1341912,6597,6,ATIVO,UNIDADE,624.84,104.14
"75289647	VOLANTE MOTOR",1341913,6598,1,ATIVO,UNIDADE,920.12,920.12
"87667592	CORRENTE",1341914,6599,6,ATIVO,UNIDADE,3333.84,555.64
"75289408	TAMBOR TRANSMISSÃO",1341915,6600,2,ATIVO,UNIDADE,5392.34,2696.17
"75324054	BOMBA HIDRÁULICA",1341916,6601,1,ATIVO,UNIDADE,2261.08,2261.08
"75289697	TUBO",1341917,6602,4,ATIVO,UNIDADE,1206.84,301.71
"75289699	VALVULA SOLENÓIDE",1341918,6603,4,ATIVO,UNIDADE,2661.92,665.48
"75249889	CHICOTE FREIO",1341919,6604,4,ATIVO,UNIDADE,853.08,213.27
