descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Cimento CP V ARI - Saco 50kg",4401484,2237,PERDEU,SC,76058,34
"Cimento CP V ARI - Saco 50kg",4401485,17763,PERDEU,SC,621705,35
