descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"76066288	ANEL TRAVA",1343940,3557,20,ATIVO,UNIDADE,130.8,6.54
"819948362	DENTE DA CONCHA XT870BR-I",1344208,6780,50,ATIVO,UNIDADE,2109,42.18
"819909818	PINO E TRAVA CONJUNTO XCMG XE215BR",1344209,6779,20,ATIVO,UNIDADE,480,24
"819908740	DENTE XCMG XE215BR",1344210,6778,20,ATIVO,UNIDADE,2094.2,104.71
"WGMCG-20	BITS FRESADORA",1344211,6777,50,ATIVO,UNIDADE,4654,93.08
"73132919	PARAFUSO DE LÂMINA RG170",1344212,6776,200,ATIVO,UNIDADE,1238,6.19
"75267187	TRAVA DA UNHA RG170",1344213,6775,50,ATIVO,UNIDADE,2399.5,47.99
"75267178	SUPORTE DA UNHA RG170",1344214,6774,50,ATIVO,UNIDADE,8944,178.88
"75268187	UNHA RG170",1344215,6773,100,ATIVO,UNIDADE,5745,57.45
"PORCA DE LÂMINA TRATOR D150",1344217,6772,200,ATIVO,UNIDADE,582,2.91
"8273211	PARAFUSO DE LÂMINA TRATOR D150",1344249,6771,100,ATIVO,UNIDADE,582,5.82
"76089288	CANTO DE LÂMINA TRATOR D150",1344250,6769,4,ATIVO,UNIDADE,1134.36,283.59
"219000311	DENTE LATERAL  RD406",1344251,6737,20,ATIVO,UNIDADE,829,41.45
"219000309	DENTE CENTRAL RD406",1344252,6736,40,ATIVO,UNIDADE,1890.8,47.27
"370160025	LÂMINA TRASEIRA RD406",1344253,6735,4,ATIVO,UNIDADE,2268.72,567.18
"219000075	PORCA",1344254,6734,100,ATIVO,UNIDADE,291,2.91
"219000337	PARAFUSO",1344255,6733,100,ATIVO,UNIDADE,509,5.09
"370160077	LÂMINA DIANTEIRA RD406",1344256,6732,4,ATIVO,UNIDADE,5497.32,1374.33
"13806998	PORCA",1344257,6731,200,ATIVO,UNIDADE,872,4.36
"13801870	PARAFUSO",1344258,6730,200,ATIVO,UNIDADE,1308,6.54
"3302877	DENTE 55C",1344259,6729,50,ATIVO,UNIDADE,10507.5,210.15
"551765	LÂMINA FRONTAL 55C",1344260,6728,3,ATIVO,UNIDADE,7133.4,2377.8
"42511612	PORCA",1344261,6727,200,ATIVO,UNIDADE,582,2.91
