ano_dados,quantidade_licitacoes,media_nominal,mediana_nominal,variancia_nominal,desvio_padrao_nominal,media_real_2025,mediana_real_2025,variancia_real_2025,desvio_padrao_real_2025,ipca_percentual,indice_precos,media_nominal_crescimento_pct,mediana_nominal_crescimento_pct,media_real_2025_crescimento_pct,mediana_real_2025_crescimento_pct,gap_mediana_nominal_menos_ipca,gap_media_nominal_menos_ipca
2015,105,376417.63933333335,59940.0,2565785654402.8613,1601806.9966144052,620289.3494578179,98773.64852601144,6967373424634.533,2639578.266434722,10.67,110.67,,,,,,
2016,95,201475.38199999998,62075.0,241692417261.88144,491622.2302356571,312358.93855268846,96238.4630726653,580934175652.7373,762190.3801890557,6.29,117.631143,-46.47557368543369,3.5618952285618954,-49.64302727014175,-2.56666174751915,-2.7281047714381046,-52.76557368543369
2017,83,3025907.612168675,68106.84,324179719646108.75,18004991.52030094,4556813.59609587,102564.32590706144,735185683648592.9,27114307.72947362,2.95,121.1012617185,1401.8746122385687,9.717019734192501,1358.8388657004066,6.573112903538125,6.767019734192501,1398.9246122385687
2018,113,420994.16893805313,75804.0,2043839113039.9827,1429629.0123804787,611073.6749797493,110029.621015917,4306076036377.1,2075108.6806182226,3.75,125.64255903294377,-86.08701180283805,11.301596139242399,-86.58989089430172,7.278646881197481,7.551596139242399,-89.83701180283805
2019,480,683174.7740833333,115800.0,6376378450938.518,2525149.193797966,950655.9497168006,161138.7936928966,12346878739293.443,3513812.5646217163,4.31,131.05775332726364,62.276540743218355,52.76238720911826,55.57141284940887,46.45037600337285,48.45238720911826,57.96654074321835
2020,125,342667.14656,101572.42,922658323803.4303,960551.0521588273,456209.80585039314,135228.41180761074,1635404541599.8044,1278829.3637541344,4.52,136.98156377765594,-49.84194973829615,-12.286338514680484,-52.01105026626115,-16.079543163682043,-16.806338514680483,-54.36194973829615
2021,112,1748743.2305357142,157842.85499999998,49689424398805.55,7049072.591398499,2115381.420187347,190935.888669052,72709179590642.95,8526967.784074416,10.06,150.76190909368813,410.33291288387767,55.399324934859266,363.68609202605643,41.195098069107104,45.33932493485926,400.27291288387767
2022,42,528688.0995238095,173500.0,1541451639606.279,1241552.1090982363,604529.5811917039,198388.960204006,2015421783079.7053,1419655.5156374048,5.79,159.49102363021268,-69.7675398942445,9.919451216211229,-71.42219481448578,3.903441928548257,4.129451216211229,-75.55753989424451
2023,303,1185030.0231683168,329222.89,8436285165866.242,2904528.389578288,1295187.5463493876,359826.6531350062,10077617354561.875,3174526.3197147814,4.62,166.85950892192852,124.1453938977775,89.7538270893372,114.24717443870911,81.37433290894396,85.13382708933719,119.52539389777749
2024,255,1582835.7764705883,249900.0,15613602812719.674,3951405.1693947655,1650264.5805482352,260545.74,16972216714203.805,4119735.0296109826,4.83,174.91882320285768,33.569255253018085,-24.093977791155407,27.415105650117376,-27.59131717175943,-28.92397779115541,28.739255253018086
2025,237,1034720.7873417721,177750.0,7445419276202.467,2728629.5600910117,1034720.7873417721,177750.0,7445419276202.467,2728629.5600910117,4.26,182.3703650712994,-34.628670723567076,-28.871548619447786,-37.29970336041345,-31.777813753546692,-33.131548619447784,-38.888670723567074
