modelo,avaliacoes,mae,rmse,mape
linear_level,6,62730.21176396336,83690.1785901861,27.40681015527034
linear_log,6,66460.23417867509,88726.15981731351,29.69482061882604
naive_last,6,72097.54605794793,88132.64824207377,30.273923233068388
