variavel,correlacao_pearson,correlacao_absoluta,p_valor,amostra_utilizada
valor_estimado,0.963805332078329,0.963805332078329,0.0,41749
log1p_valor_estimado,0.7035777617065105,0.7035777617065105,0.0,41749
diferenca_estimado_homologado,0.643656323757337,0.643656323757337,0.0,41749
valor_estimado_por_participante,0.5800803690385223,0.5800803690385223,0.0,41749
log1p_quantidade_item,0.47555590582704155,0.47555590582704155,0.0,41749
log1p_num_participantes_licitacao,0.3710283691302698,0.3710283691302698,0.0,41749
sqrt_num_participantes_licitacao,0.35852160792580484,0.35852160792580484,0.0,41749
registro_precos_bool,0.3577635321176423,0.3577635321176423,0.0,41749
sqrt_quantidade_item,0.3456383779544369,0.3456383779544369,0.0,41749
has_contrato,-0.33726561191180976,0.33726561191180976,0.0,41749
has_ata_registro_precos,0.33034628661757726,0.33034628661757726,0.0,41749
num_itens_proposta_licitacao,0.3283640819051338,0.3283640819051338,0.0,41749
log1p_valor_total_item,0.3283483062104323,0.3283483062104323,0.0,41749
num_participantes_licitacao,0.3228212982193785,0.3228212982193785,0.0,41749
