descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"CARNE BOVINA, de coxão mole",1287446,2,960,ATIVO,kg,21120,22
"CARNE BOVINA MOIDA",1287448,4,212,ATIVO,kg,3169.4,14.95
