acao,ano,descricaoElemento,fonteRecurso,funcao,id,numeroElemento,orgao,portaria,programa,subfuncao,unidade
6005,2016,"Aplicacoes Diretas","Salário Educação",12,1004248,4465067,"SEC. MUN. DE EDUCAÇÃO"," ",1025,365,
7015,2016,"Aplicacoes Diretas","Contribuição para o Custeio dos Serviços de Iluminação Pública - COSIP",4,1005144,4465067,"SEC. MUN. DE INFRAEST. E MOBILIDADE URBANA"," ",1017,751,
7017,2016,"Aplicacoes Diretas","Recursos Ordinários",4,1005184,4465067,"SEC. MUN. DE INFRAEST. E MOBILIDADE URBANA"," ",1017,122,
